"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"SAR1A",13,-1.24863691886633,-0.346309571954609,-1.21447614882454,1.25855703947214,4,9,0.692307692307692,0.211797902665359
"APRT",12,-1.24936550183186,-0.360660754399429,-1.49853499323398,1.0460059499984,4,8,0.666666666666667,0.211531420278032
"ACOT9",3,-1.24974939428453,-0.721543149209742,-11.0584460745676,1.51447606369764,1,2,0.666666666666667,0.211391107482388
"LRP1",13,-1.24993172310193,-0.346668686036391,-0.0595602991341924,1.48473725137093,6,7,0.538461538461538,0.211324489824018
"BZW2",5,-1.25197675613992,-0.559901026595706,-4.20235833823741,0.591826463864714,1,4,0.8,0.210578333808205
"GCN1",8,-1.25221996015891,-0.442726612682756,-3.75812671675692,1.18458973863853,3,5,0.625,0.210489724742427
"SARAF",9,-1.25692673328671,-0.418975577762237,-1.24385443105288,0.987817713896512,4,5,0.555555555555556,0.208780167185555
"CLPX",3,-1.26141917241926,-0.728280698757213,-2.2066561880108,1.67077477289135,1,2,0.666666666666667,0.207157864309873
"ECHDC2",5,-1.26428949561288,-0.565407451085863,-0.869140254546622,0.607119241479841,1,4,0.8,0.206126138491885
"RDH14",4,-1.26824885929962,-0.634124429649808,-3.86621925994758,1.6538695788182,1,3,0.75,0.204709093723747
"SLC35E2B",4,-1.26827829791761,-0.634139148958807,-1.53043872647505,1.1573662577895,1,3,0.75,0.204698584327425
"SERPINH1",10,-1.26844870519422,-0.401118700350517,-0.277716820042672,2.18687497983343,6,4,0.6,0.204637757740485
"USP33",5,-1.27018585523854,-0.568044383274416,-9.60479388914184,1.41692594641262,2,3,0.6,0.204018434899572
"SRSF11",12,-1.27177620771547,-0.367130167936743,-0.0689036030754077,1.12378808457686,5,7,0.583333333333333,0.203452644735126
"ATF4",13,-1.27223066493905,-0.352853299742723,-0.37737713482185,1.05312357183378,6,7,0.538461538461538,0.203291175266938
