"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"WDR46",13,3.17509974079996,0.880614224628206,0.77250572298606,1.3731513037356,10,3,0.769230769230769,0.0014978500636313
"KAT2A",8,3.16308448187086,1.11831924329841,0.543574389909492,2.06627711710679,5,3,0.625,0.00156107022989179
"TUFM",22,3.16175653263262,0.674088757699305,0.00232938468646552,1.45774079913066,14,8,0.636363636363636,0.00156820620339005
"ELOB",14,3.15803041219222,0.844019129959697,0.398297952259657,1.41043525215109,10,4,0.714285714285714,0.00158838986289358
"AIP",14,3.15509284066981,0.843234030946413,0.799769018969938,1.01026996258489,11,3,0.785714285714286,0.00160447040097302
"SPON2",13,3.15333638217431,0.874578154978121,0.34986243995825,2.27727975557296,7,6,0.538461538461538,0.00161415686773944
"MOB3B",6,3.14770260542043,1.28504420755154,1.09161677981147,1.11050659993719,5,1,0.833333333333333,0.00164559021153745
"NME4",22,3.13211794602481,0.667769789802753,0.525157416739115,1.27378381777267,16,6,0.727272727272727,0.00173550139801419
"EHBP1L1",3,3.11628622153649,1.79918868887601,1.88872801886212,0.705985136957645,3,0,1,0.0018314441702138
"RPL10",15,3.10747165139924,0.802345730312061,0.040559336268027,2.37910880578987,10,5,0.666666666666667,0.00188695082006697
"TECR",15,3.10488657699969,0.801678266972183,-0.402135009776854,1.41546877136931,10,5,0.666666666666667,0.00190352003213284
"ZNF436",3,3.10431899891532,1.79227940967423,0.980276517872021,0.763972736647895,3,0,1,0.00190717580622723
"TUSC3",11,3.10235804158069,0.93539614447863,1.408429166623,1.11484811970954,8,3,0.727272727272727,0.00191985602387586
"AES",8,3.0825778641941,1.0898558556536,0.346599397216991,1.96995784205372,6,2,0.75,0.00205216035349752
"ALKBH7",21,3.08068327096236,0.672260203874722,0.468956925889757,1.33363732086758,15,6,0.714285714285714,0.00206526210444805
"DNASE2",16,3.0688271124122,0.767206778103049,1.88181455340222,0.982416420657873,11,5,0.6875,0.00214900917055065
"DDX19A",4,3.06866449995017,1.53433224997509,1.81903303676537,0.814895611269741,4,0,1,0.00215017914052032
"TNFRSF1A",9,3.06481821741728,1.02160607247243,0.875457126037569,1.6133197811486,8,1,0.888888888888889,0.00217802334738342
"PRRC2A",22,3.05881586063412,0.652141732687098,0.539210931970119,1.7741870395941,12,10,0.545454545454545,0.00222213689322817
"TMEM230",22,3.03747527895835,0.647591905386378,1.08228014322924,1.05455514025751,15,7,0.681818181818182,0.00238568972131338
"RRBP1",15,3.03652090024271,0.784026325136718,0.709726693739073,1.01648769615905,11,4,0.733333333333333,0.00239325516375265
"PLEC",22,3.02939317072777,0.645868794121955,0.22617636121241,2.21809327528207,16,6,0.727272727272727,0.0024504555033294
"NPM3",6,3.02588672118437,1.23531308106082,2.63172830142026,0.92131670904471,6,0,1,0.00247905160171245
"COMP",5,3.00761016034337,1.34504415366936,-1.3330642758319,1.7461883793183,3,2,0.6,0.00263310672806013
"ID1",6,3.00593364223796,1.22716727069146,4.59370086782197,0.736328587310572,6,0,1,0.00264766770766717
"NAA38",7,2.99653912842547,1.13258533252686,0.906269325760734,0.970149947661092,6,1,0.857142857142857,0.00273063191964976
"RPSA",15,2.99291850526293,0.772768235162623,0.346461072986223,2.00614969013276,10,5,0.666666666666667,0.00276323523857979
"REX1BD",22,2.99050833777864,0.637578519881831,0.788908566471949,1.27486592144491,15,7,0.681818181818182,0.00278513525733042
"SNX17",21,2.98942591834376,0.652346216917768,0.0206180468657137,1.30034332756754,15,6,0.714285714285714,0.00279502216430071
"TSC22D1",6,2.98789659334419,1.21980367631557,0.930056249182341,1.35743128446379,4,2,0.666666666666667,0.00280904578512384
"NCK2",11,2.96957817811281,0.895361509311578,0.632421339585755,1.04439587354185,9,2,0.818181818181818,0.00298208922203698
"COL27A1",3,2.96664919736161,1.71279571268791,1.55648893444028,1.42100841214295,3,0,1,0.00301064250108451
"SZRD1",22,2.95689578014573,0.630412298515952,0.394525021405371,1.24406764097929,15,7,0.681818181818182,0.00310753133721789
"SND1",21,2.95660523014269,0.645184155582438,0.713560838446904,1.14192840072168,16,5,0.761904761904762,0.00311046073711495
"PPP4R1",3,2.95458012452477,1.7058276302367,1.47769397376918,0.680342598730102,3,0,1,0.00313094840353824
"PSPH",3,2.94813389194875,1.70210589612367,1.09946697420541,0.515890814262645,3,0,1,0.00319698565802704
"NSG1",12,2.94374723692061,0.849786629831166,-1.32319773366882,1.72430832882639,6,6,0.5,0.00324264709730884
"PHLDB1",5,2.91863161492172,1.30525173844899,0.490194116544157,0.898271164908903,5,0,1,0.00351571425593293
"FAAP20",18,2.90918155214216,0.685700667740842,0.118629895156719,1.58281943650846,13,5,0.722222222222222,0.00362376353335154
"SKA2",3,2.90789858073856,1.67887602836554,2.20122961054052,0.898087333827545,3,0,1,0.00363866322585801
"CDC42EP5",10,2.89892552369868,0.916720742208426,-0.228827639484766,1.29474242128443,7,3,0.7,0.00374443825841718
"BCL2L2",7,2.89703268965957,1.09497543383768,0.347289417378835,1.76450413939165,4,3,0.571428571428571,0.00376710500125419
"CNN2",22,2.89304345560445,0.616798937182779,0.37911733703214,1.59822265362307,14,8,0.636363636363636,0.00381528506624252
"NUP58",4,2.89092639275469,1.44546319637735,1.15295803988944,0.844466264707828,4,0,1,0.00384108073449042
"CPSF4",7,2.88888655372245,1.09189648386115,0.982440226985544,0.904936232656121,7,0,1,0.00386608524897233
"EIF4A3",9,2.88311281670295,0.961037605567649,0.873259012475142,1.94780619802411,6,3,0.666666666666667,0.0039376638777983
"ANXA6",14,2.87764648118846,0.769083372347347,0.461687371209439,1.37756567703595,11,3,0.785714285714286,0.00400653851620637
"BAG6",22,2.8705423040828,0.612001675559537,0.629061911273599,1.10373320714376,14,8,0.636363636363636,0.00409768362521786
