dataset,sample,sample_label,malignant_threshold,variable,variable_type,n_spots,n_low,n_high,low_snai1ac_threshold,high_snai1ac_threshold,low_mean,high_mean,high_minus_low,cohens_d
denisenko_2022,SP8,denisenko_2022__SP8,0.1,HALLMARK_SPERMATOGENESIS_score,hallmark,2509,628,628,-0.5071271389183498,0.8071403414765064,-0.03905776028587447,0.2662805693192631,0.30533832960513757,0.2858911159491913
denisenko_2022,SP8,denisenko_2022__SP8,0.1,HALLMARK_TGF_BETA_SIGNALING_score,hallmark,2509,628,628,-0.5071271389183498,0.8071403414765064,0.07288324045427036,-0.010495093303248233,-0.08337833375751859,-0.08217903159627572
denisenko_2022,SP8,denisenko_2022__SP8,0.1,HALLMARK_TNFA_SIGNALING_VIA_NFKB_score,hallmark,2509,628,628,-0.5071271389183498,0.8071403414765064,-0.14120523453588107,0.2391440049113895,0.3803492394472706,0.3845777220849227
denisenko_2022,SP8,denisenko_2022__SP8,0.1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE_score,hallmark,2509,628,628,-0.5071271389183498,0.8071403414765064,0.13677931754098807,-0.03172270679529616,-0.16850202433628422,-0.1678572633973787
denisenko_2022,SP8,denisenko_2022__SP8,0.1,HALLMARK_UV_RESPONSE_DN_score,hallmark,2509,628,628,-0.5071271389183498,0.8071403414765064,-0.2481035463187634,0.2846752031444899,0.5327787494632533,0.5603388586560988
denisenko_2022,SP8,denisenko_2022__SP8,0.1,HALLMARK_UV_RESPONSE_UP_score,hallmark,2509,628,628,-0.5071271389183498,0.8071403414765064,-0.32186851362855473,0.634847499921142,0.9567160135496967,1.0056753670923555
denisenko_2022,SP8,denisenko_2022__SP8,0.1,HALLMARK_WNT_BETA_CATENIN_SIGNALING_score,hallmark,2509,628,628,-0.5071271389183498,0.8071403414765064,-0.060837324915819516,0.41547565806326664,0.47631298297908614,0.46367429636283314
denisenko_2022,SP8,denisenko_2022__SP8,0.1,HALLMARK_XENOBIOTIC_METABOLISM_score,hallmark,2509,628,628,-0.5071271389183498,0.8071403414765064,0.11912024295243527,-0.2932494486231055,-0.41236969157554076,-0.40221138010235513
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b1,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,6.543016441638776,6.8784589433592975,0.3354425017205216,0.22406018045183565
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b2,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,9.736454670679784,5.793534072089377,-3.9429205985904066,-0.9495261627883042
