cell_type,spearman_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
Unidentifiable,-0.4850191699835694,9.44481485688468e-168,visium/denisenko_2022,SP4,denisenko_2022,denisenko_2022__SP4,primary tumor,unknown
Malignant,0.4713138244928698,1.761047107960663e-110,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
CAF,-0.2013823007473318,1.2299027010203796e-19,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Endothelial,-0.1139197860625858,3.529389603738232e-07,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Plasma,-0.1430400519442342,1.4871799438322458e-10,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
B cell,-0.1138891256907761,3.555171758229429e-07,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
T CD4,-0.0736498674950627,0.001015400754586,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
T CD8,-0.0734065488128266,0.0010553554215195,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
NK,-0.0811831817936757,0.0002907338664532,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
cDC,-0.082793982385534,0.000219403476503,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
pDC,-0.1063478671589254,2.0118405580503408e-06,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Macrophage,-0.4650611531077374,3.057515035575277e-107,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Mast,-0.0815288773712707,0.0002738049515785,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Neutrophil,-0.0397305668393926,0.0765521183498482,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Unidentifiable,-0.0921612167547082,3.865623929081698e-05,visium/denisenko_2022,SP5,denisenko_2022,denisenko_2022__SP5,primary tumor,unknown
Malignant,0.6100108957141694,1.0805231620167896e-179,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
CAF,-0.3254705959105181,1.1715682061372798e-44,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Endothelial,-0.3100029086102818,1.8150784818442318e-40,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Plasma,-0.3852451462681039,2.711355889987492e-63,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
B cell,-0.2852807402096632,2.836601803863078e-34,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
T CD4,-0.2010788901466496,1.7092294112354466e-17,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
T CD8,-0.1338714345818059,1.7565222560866132e-08,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
NK,-0.1773839271436641,6.801930578195499e-14,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
cDC,-0.155729720212476,5.2046450834514386e-11,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
pDC,-0.30189842823211,2.272827567252314e-38,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Macrophage,-0.4150402829865038,3.732059707529276e-74,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Mast,-0.0661003627459183,0.0055618803785181,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Neutrophil,-0.0743055704541383,0.0018231992315771,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Unidentifiable,-0.2444317756182486,2.49211615958798e-25,visium/denisenko_2022,SP6,denisenko_2022,denisenko_2022__SP6,primary tumor,unknown
Malignant,0.3300498098953535,9.164361191543276e-88,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
CAF,-0.0851357997639974,6.116570334313066e-07,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Endothelial,-0.2315961742028666,6.712366915055025e-43,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Plasma,-0.1769676827791211,1.7922573505555384e-25,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
B cell,-0.1868017463916744,3.038522148582938e-28,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
T CD4,-0.1029710481146189,1.5657877356473863e-09,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
T CD8,0.0159831911295851,0.3499425978111921,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
NK,-0.0169705498390572,0.3209782174212858,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
cDC,-0.0887324474226541,2.0034240985499562e-07,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
pDC,-0.1527303586620862,2.613624660666872e-19,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Macrophage,-0.1673854572293308,6.346354993529912e-23,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Mast,-0.1049436496801887,7.567928522556633e-10,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Neutrophil,-0.1094157688833299,1.3850709292678683e-10,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
