dataset,sample,balance,spearman_r
yamamoto_2025,Pt2-2,b4,-0.07111612755968877
yamamoto_2025,Pt2-2,b5,0.054282381614844034
yamamoto_2025,Pt2-2,b6,-0.09970698568889196
yamamoto_2025,Pt2-2,b7,0.03832463929148292
yamamoto_2025,Pt2-2,b8,0.13327869018443048
yamamoto_2025,Pt2-2,b9,-0.054973480368868274
yamamoto_2025,Pt2-2,b10,-0.022714099394533564
yamamoto_2025,Pt2-2,b11,-0.05570006160097052
yamamoto_2025,Pt2-2,b12,0.025001840394175356
yamamoto_2025,Pt2-3,b1,0.18613225080825416
yamamoto_2025,Pt2-3,b2,-0.053657675322603876
yamamoto_2025,Pt2-3,b3,-0.0671608149977406
yamamoto_2025,Pt2-3,b4,0.001913739774213552
yamamoto_2025,Pt2-3,b5,-0.057555303625729956
yamamoto_2025,Pt2-3,b6,-0.06313445073686941
yamamoto_2025,Pt2-3,b7,-0.006338336534368846
yamamoto_2025,Pt2-3,b8,-0.03171509663179522
yamamoto_2025,Pt2-3,b9,-0.034868070689837334
yamamoto_2025,Pt2-3,b10,-0.005501331477323902
yamamoto_2025,Pt2-3,b11,-0.06081698663066014
yamamoto_2025,Pt2-3,b12,0.05674652442015476
yamamoto_2025,Pt2-4,b1,0.22766786502677716
yamamoto_2025,Pt2-4,b2,-0.06298513781837363
yamamoto_2025,Pt2-4,b3,-0.12290620920390759
yamamoto_2025,Pt2-4,b4,0.026254349896272185
yamamoto_2025,Pt2-4,b5,0.04073293636670461
yamamoto_2025,Pt2-4,b6,0.018789067694350837
yamamoto_2025,Pt2-4,b7,0.15622646800203938
yamamoto_2025,Pt2-4,b8,0.0011932850397915263
yamamoto_2025,Pt2-4,b9,0.08965408600278643
yamamoto_2025,Pt2-4,b10,-0.03262135273440719
yamamoto_2025,Pt2-4,b11,0.005281867382282881
yamamoto_2025,Pt2-4,b12,-0.1725036753939557
ju_2024,CPS_OV19_LtOV1,b1,-0.004804196564129203
ju_2024,CPS_OV19_LtOV1,b2,-0.023107638012390148
ju_2024,CPS_OV19_LtOV1,b3,-0.06047879036833097
ju_2024,CPS_OV19_LtOV1,b4,0.04433618860671424
ju_2024,CPS_OV19_LtOV1,b5,-0.032613897964169455
ju_2024,CPS_OV19_LtOV1,b6,-0.014938490931055039
ju_2024,CPS_OV19_LtOV1,b7,-0.014729305073630817
ju_2024,CPS_OV19_LtOV1,b8,-0.009773921416383887
