cell_type,partial_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
T CD4,0.1777137524253952,1.766622430414191e-09,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
T CD8,0.0807461432444029,0.0065885537588598,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
NK,0.0678941290368162,0.0224060403007346,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
cDC,0.1281408017509416,1.542816965367086e-05,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
pDC,0.0007408170929289,0.9801455851758462,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Macrophage,0.0190540777561599,0.5220785217043338,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Mast,0.0561915623420373,0.0588724517717484,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Neutrophil,0.1273186965567652,1.7506798296788453e-05,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Unidentifiable,0.0099883081028458,0.7372123764854466,visium/yamamoto_2025,Pt1-2,yamamoto_2025,yamamoto_2025__Pt1-2,primary tumor,unknown
Malignant,,,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
CAF,0.1395474002950912,3.5948885745089323e-10,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Endothelial,0.0060050342993192,0.7882974260718416,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Plasma,-0.0053881165256332,0.8096050867976162,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
B cell,0.0287594511382671,0.1983498813723866,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
T CD4,0.0651985943290286,0.0035170762723475,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
T CD8,-0.0475164752548281,0.0335085388623888,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
NK,-0.0112855412705286,0.6137992514662536,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
cDC,-0.0405512451062801,0.0696736806275938,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
pDC,0.0284192712092555,0.2037121775739885,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Macrophage,-0.0669575458966578,0.0027227321718371,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Mast,0.0272941108351359,0.2221978928228841,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Neutrophil,-0.0902050219502879,5.3035910929011146e-05,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Unidentifiable,0.040606492768776,0.0692937427799517,visium/yamamoto_2025,Pt1-3,yamamoto_2025,yamamoto_2025__Pt1-3,primary tumor,BRCAmut
Malignant,,,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
CAF,-0.0697372661538819,0.0093766214903051,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Endothelial,0.1453479219011547,5.414592930327284e-08,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Plasma,0.0186294805936536,0.4881576313625073,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
B cell,0.0633244204427233,0.0183441354373261,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
T CD4,0.017830674638255,0.50700268327227,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
T CD8,-0.0155736959891802,0.5622418696812036,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
NK,-0.008583510841678,0.7494318300954532,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
cDC,0.0539876508814557,0.0444009587070322,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
pDC,0.076435916609458,0.0043958755073034,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Macrophage,0.0632404456782532,0.0184996108352744,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Mast,-0.0105627849311572,0.6942897406725497,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Neutrophil,0.0791755061592185,0.0031709143037916,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Unidentifiable,0.0985914737708874,0.0002355865738428,visium/yamamoto_2025,Pt1-4,yamamoto_2025,yamamoto_2025__Pt1-4,secondary site,BRCAwt
Malignant,,,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
CAF,-0.2704591267666112,4.2996841887812166e-32,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Endothelial,0.1002758973423467,1.699654109055563e-05,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Plasma,0.0768789144649074,0.0009874092609615,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
B cell,0.0392679739972438,0.0928206724012669,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
T CD4,0.1362040593981986,4.778591990243983e-09,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
