dataset,sample,variable,crs_numeric,high_group_mean_across_thresholds,high_minus_low_mean_across_thresholds,n_thresholds
denisenko_2022,SP2,HALLMARK_IL2_STAT5_SIGNALING_score,3.0,0.2624645057281835,0.39344067039640757,5
denisenko_2022,SP2,HALLMARK_IL6_JAK_STAT3_SIGNALING_score,3.0,-0.4553080731690433,-0.9598692522708241,5
denisenko_2022,SP2,HALLMARK_INFLAMMATORY_RESPONSE_score,3.0,-0.0917997491348399,0.022970839697346136,5
denisenko_2022,SP2,HALLMARK_INTERFERON_ALPHA_RESPONSE_score,3.0,0.300684757782676,0.21792642673647097,5
denisenko_2022,SP2,HALLMARK_INTERFERON_GAMMA_RESPONSE_score,3.0,0.21929064940975357,0.0664000504520493,5
denisenko_2022,SP2,HALLMARK_KRAS_SIGNALING_DN_score,3.0,-0.21495113330358112,-0.2551114935094385,5
denisenko_2022,SP2,HALLMARK_KRAS_SIGNALING_UP_score,3.0,0.7380797454801605,0.8279539537599196,5
denisenko_2022,SP2,HALLMARK_MITOTIC_SPINDLE_score,3.0,0.878508097019626,1.1006969277503185,5
denisenko_2022,SP2,HALLMARK_MTORC1_SIGNALING_score,3.0,-0.014613927844880258,-0.012460109883621484,5
denisenko_2022,SP2,HALLMARK_MYC_TARGETS_V1_score,3.0,-0.8784833753325423,-1.0021198371366464,5
denisenko_2022,SP2,HALLMARK_MYC_TARGETS_V2_score,3.0,-0.5369106131110485,-0.5959831925256007,5
denisenko_2022,SP2,HALLMARK_MYOGENESIS_score,3.0,0.1226026750255699,0.13525600730918383,5
denisenko_2022,SP2,HALLMARK_NOTCH_SIGNALING_score,3.0,0.08168313258637334,0.22519211643385195,5
denisenko_2022,SP2,HALLMARK_OXIDATIVE_PHOSPHORYLATION_score,3.0,-0.42565533672427797,-0.36730464099876076,5
denisenko_2022,SP2,HALLMARK_P53_PATHWAY_score,3.0,0.005452849549373559,-0.014406582956958397,5
denisenko_2022,SP2,HALLMARK_PANCREAS_BETA_CELLS_score,3.0,0.0293095916127901,0.044206512481253776,5
denisenko_2022,SP2,HALLMARK_PEROXISOME_score,3.0,0.4186694426360285,0.3382791192108289,5
denisenko_2022,SP2,HALLMARK_PI3K_AKT_MTOR_SIGNALING_score,3.0,-0.8715148058738584,-0.7481962200594893,5
denisenko_2022,SP2,HALLMARK_PROTEIN_SECRETION_score,3.0,-0.24389714560721115,-0.1296706048802752,5
denisenko_2022,SP2,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_score,3.0,0.10545702725761816,-0.0769973023958395,5
denisenko_2022,SP2,HALLMARK_SPERMATOGENESIS_score,3.0,-0.8290448524175897,-0.8789545171724281,5
denisenko_2022,SP2,HALLMARK_TGF_BETA_SIGNALING_score,3.0,-0.20064248644770605,-0.3620059475738785,5
denisenko_2022,SP2,HALLMARK_TNFA_SIGNALING_VIA_NFKB_score,3.0,-0.01782585058154746,-0.2910642081272151,5
denisenko_2022,SP2,HALLMARK_UNFOLDED_PROTEIN_RESPONSE_score,3.0,-0.22162716837050828,-0.31981404143496467,5
denisenko_2022,SP2,HALLMARK_UV_RESPONSE_DN_score,3.0,0.21839818687660636,0.09495627122793175,5
denisenko_2022,SP2,HALLMARK_UV_RESPONSE_UP_score,3.0,0.11357686114990859,-0.13594183954834566,5
denisenko_2022,SP2,HALLMARK_WNT_BETA_CATENIN_SIGNALING_score,3.0,-0.589451233112676,-0.6203259383339345,5
denisenko_2022,SP2,HALLMARK_XENOBIOTIC_METABOLISM_score,3.0,0.3580209996128002,0.5505386366886453,5
denisenko_2022,SP3,HALLMARK_ADIPOGENESIS_score,3.0,0.615801372446687,0.9899896953631393,5
denisenko_2022,SP3,HALLMARK_ALLOGRAFT_REJECTION_score,3.0,0.8622383890326846,0.7715815623565221,5
denisenko_2022,SP3,HALLMARK_ANDROGEN_RESPONSE_score,3.0,0.01594364694869966,-0.017109160097701217,5
denisenko_2022,SP3,HALLMARK_ANGIOGENESIS_score,3.0,-0.1315215762731498,-0.16197037831564415,5
denisenko_2022,SP3,HALLMARK_APICAL_JUNCTION_score,3.0,-0.5672198357311139,-0.6380846097044889,5
denisenko_2022,SP3,HALLMARK_APICAL_SURFACE_score,3.0,-0.15303431287521518,-0.1616619086923322,5
denisenko_2022,SP3,HALLMARK_APOPTOSIS_score,3.0,0.15440683288275628,0.2369565235189745,5
denisenko_2022,SP3,HALLMARK_BILE_ACID_METABOLISM_score,3.0,0.3678175555069214,0.5092094897412506,5
denisenko_2022,SP3,HALLMARK_CHOLESTEROL_HOMEOSTASIS_score,3.0,-0.2345799111164711,-0.2881044341480682,5
denisenko_2022,SP3,HALLMARK_COAGULATION_score,3.0,0.27477579201421437,0.6623381357910931,5
