balance,balance_label,malignant_threshold,group,median,q25,q75,n_samples
b4,b4 Myeloid vs lymphoid,0.9,LOW SNAI1-ac,-0.2391576633502621,-0.5521249727244958,0.19269391139882605,23
b4,b4 Myeloid vs lymphoid,1.0,HIGH SNAI1-ac,5.542431292347674e-17,5.542431292347674e-17,5.542431292347674e-17,23
b4,b4 Myeloid vs lymphoid,1.0,LOW SNAI1-ac,5.542431292347674e-17,5.542431292347674e-17,5.542431292347674e-17,23
b9,b9 T/NK vs B/plasma,0.1,HIGH SNAI1-ac,-3.1588532754235854,-4.410837947068959,-2.4269391394674824,23
b9,b9 T/NK vs B/plasma,0.1,LOW SNAI1-ac,-4.400155036611894,-6.028499586576499,-3.370783029282175,23
b9,b9 T/NK vs B/plasma,0.2,HIGH SNAI1-ac,-3.1716097833805548,-4.328891115828313,-2.306128826726117,23
b9,b9 T/NK vs B/plasma,0.2,LOW SNAI1-ac,-4.05344617511728,-5.826860451707393,-3.110149584373577,23
b9,b9 T/NK vs B/plasma,0.3,HIGH SNAI1-ac,-3.236564715146542,-4.237576795384299,-2.1774734288449817,23
b9,b9 T/NK vs B/plasma,0.3,LOW SNAI1-ac,-4.121011862749198,-5.615475135994614,-2.823812275874803,23
b9,b9 T/NK vs B/plasma,0.4,HIGH SNAI1-ac,-3.1731341179215886,-4.035867100952296,-1.9834838553669905,23
b9,b9 T/NK vs B/plasma,0.4,LOW SNAI1-ac,-3.9438969060546336,-5.33922573184467,-2.8053013608431385,23
b9,b9 T/NK vs B/plasma,0.5,HIGH SNAI1-ac,-2.866099180208771,-3.7003517703864945,-1.90569543069658,23
b9,b9 T/NK vs B/plasma,0.5,LOW SNAI1-ac,-3.620728037365292,-4.892048414781836,-2.5480587528093963,23
b9,b9 T/NK vs B/plasma,0.6,HIGH SNAI1-ac,-2.3342486062538192,-3.365774059261952,-1.552964080543032,23
b9,b9 T/NK vs B/plasma,0.6,LOW SNAI1-ac,-3.174015139831566,-4.27981456548059,-2.138416763674349,23
b9,b9 T/NK vs B/plasma,0.7,HIGH SNAI1-ac,-1.824803828631261,-2.7973703350884627,-1.1172911184153016,23
b9,b9 T/NK vs B/plasma,0.7,LOW SNAI1-ac,-3.072712865515553,-3.4563848129883583,-1.715484981768014,23
b9,b9 T/NK vs B/plasma,0.8,HIGH SNAI1-ac,-1.2694319854032856,-2.0020406254463117,-0.9144954586350993,23
b9,b9 T/NK vs B/plasma,0.8,LOW SNAI1-ac,-1.8013504609786417,-2.348070525280086,-1.4804766099335254,23
b9,b9 T/NK vs B/plasma,0.9,HIGH SNAI1-ac,-0.5294900135265217,-1.02458582489219,-0.31249137229523755,23
b9,b9 T/NK vs B/plasma,0.9,LOW SNAI1-ac,-0.9229198700472044,-1.221038181767703,-0.5119948670380402,23
b9,b9 T/NK vs B/plasma,1.0,HIGH SNAI1-ac,-2.0189770767948282e-18,-2.0189770767948282e-18,-2.0189770767948282e-18,23
b9,b9 T/NK vs B/plasma,1.0,LOW SNAI1-ac,-2.0189770767948282e-18,-2.0189770767948282e-18,-2.0189770767948282e-18,23
