dataset,sample,sample_label,balance,balance_label,malignant_threshold,low_mean,high_mean,high_minus_low
denisenko_2022,SP4,denisenko_2022__SP4,b1,b1 Malignant vs TME,0.3,7.452930637732999,7.7037044559665055,0.2507738182335064
denisenko_2022,SP5,denisenko_2022__SP5,b1,b1 Malignant vs TME,0.3,9.292825997879556,8.823544618833946,-0.4692813790456096
denisenko_2022,SP6,denisenko_2022__SP6,b1,b1 Malignant vs TME,0.3,8.23298567709216,7.954117638976935,-0.27886803811522487
denisenko_2022,SP7,denisenko_2022__SP7,b1,b1 Malignant vs TME,0.3,7.659033730569496,7.888949827472268,0.22991609690277137
denisenko_2022,SP8,denisenko_2022__SP8,b1,b1 Malignant vs TME,0.3,7.458703463126693,7.030004484553363,-0.4286989785733306
ju_2024,CPS_OV19_LtOV1,ju_2024__CPS_OV19_LtOV1,b1,b1 Malignant vs TME,0.3,7.83311233912428,7.462970499842244,-0.37014183928203526
ju_2024,CPS_OV1RtOV3,ju_2024__CPS_OV1RtOV3,b1,b1 Malignant vs TME,0.3,7.516108807676928,7.858309914935488,0.34220110725855957
ju_2024,CPS_OV20RtOV4,ju_2024__CPS_OV20RtOV4,b1,b1 Malignant vs TME,0.3,7.612118035684696,7.814268542653803,0.2021505069691072
ju_2024,CPS_OV24RTOV4,ju_2024__CPS_OV24RTOV4,b1,b1 Malignant vs TME,0.3,7.812161730511223,7.926587591647187,0.11442586113596409
ju_2024,CPS_OV34RtOV1,ju_2024__CPS_OV34RtOV1,b1,b1 Malignant vs TME,0.3,8.538197593363792,8.760643430543853,0.22244583718006083
ju_2024,CPS_OV5LtOV4,ju_2024__CPS_OV5LtOV4,b1,b1 Malignant vs TME,0.3,7.360242666826515,7.80413448284906,0.44389181602254446
ju_2024,CPS_OV71_1,ju_2024__CPS_OV71_1,b1,b1 Malignant vs TME,0.3,6.42010797836276,7.29788083191884,0.8777728535560794
yamamoto_2025,Pt1-1,yamamoto_2025__Pt1-1,b1,b1 Malignant vs TME,0.3,7.455765144910273,7.153320098918208,-0.3024450459920649
yamamoto_2025,Pt1-2,yamamoto_2025__Pt1-2,b1,b1 Malignant vs TME,0.3,7.688410587313431,8.167615890561187,0.4792053032477561
yamamoto_2025,Pt1-3,yamamoto_2025__Pt1-3,b1,b1 Malignant vs TME,0.3,7.086215656769972,7.030438736123592,-0.05577692064638029
yamamoto_2025,Pt1-4,yamamoto_2025__Pt1-4,b1,b1 Malignant vs TME,0.3,8.430520400091444,8.838439269860702,0.40791886976925795
yamamoto_2025,Pt2-1,yamamoto_2025__Pt2-1,b1,b1 Malignant vs TME,0.3,8.301444915371661,7.828959476744376,-0.4724854386272854
yamamoto_2025,Pt2-2,yamamoto_2025__Pt2-2,b1,b1 Malignant vs TME,0.3,7.346705250517055,7.647125473942101,0.3004202234250455
yamamoto_2025,Pt2-3,yamamoto_2025__Pt2-3,b1,b1 Malignant vs TME,0.3,6.859300854649625,6.929043615840067,0.06974276119044198
yamamoto_2025,Pt2-4,yamamoto_2025__Pt2-4,b1,b1 Malignant vs TME,0.3,7.8133679129223985,7.588283348562884,-0.22508456435951452
denisenko_2022,SP1,denisenko_2022__SP1,b1,b1 Malignant vs TME,0.4,7.550900919159853,7.710426022929701,0.1595251037698482
denisenko_2022,SP2,denisenko_2022__SP2,b1,b1 Malignant vs TME,0.4,8.151715457708264,8.19253590746932,0.04082044976105692
denisenko_2022,SP3,denisenko_2022__SP3,b1,b1 Malignant vs TME,0.4,7.761486186810667,7.800130329167532,0.03864414235686464
denisenko_2022,SP4,denisenko_2022__SP4,b1,b1 Malignant vs TME,0.4,7.827238956569354,7.794629014294888,-0.03260994227446545
denisenko_2022,SP5,denisenko_2022__SP5,b1,b1 Malignant vs TME,0.4,9.38946736283716,8.833509590431985,-0.5559577724051739
denisenko_2022,SP6,denisenko_2022__SP6,b1,b1 Malignant vs TME,0.4,8.663086841124686,7.926687858300955,-0.7363989828237312
denisenko_2022,SP7,denisenko_2022__SP7,b1,b1 Malignant vs TME,0.4,8.040004804009564,8.01595754049683,-0.024047263512734673
denisenko_2022,SP8,denisenko_2022__SP8,b1,b1 Malignant vs TME,0.4,7.794442449066826,7.132888369685878,-0.6615540793809478
ju_2024,CPS_OV19_LtOV1,ju_2024__CPS_OV19_LtOV1,b1,b1 Malignant vs TME,0.4,8.119844660632506,7.60460120154519,-0.5152434590873156
ju_2024,CPS_OV1RtOV3,ju_2024__CPS_OV1RtOV3,b1,b1 Malignant vs TME,0.4,7.741570289872972,8.059929510993669,0.3183592211206969
ju_2024,CPS_OV20RtOV4,ju_2024__CPS_OV20RtOV4,b1,b1 Malignant vs TME,0.4,7.809667478157006,7.985680028659384,0.17601255050237796
ju_2024,CPS_OV24RTOV4,ju_2024__CPS_OV24RTOV4,b1,b1 Malignant vs TME,0.4,8.044255148228375,7.997760332235877,-0.046494815992498495
ju_2024,CPS_OV34RtOV1,ju_2024__CPS_OV34RtOV1,b1,b1 Malignant vs TME,0.4,8.7129702501361,8.885153502777667,0.17218325264156675
ju_2024,CPS_OV5LtOV4,ju_2024__CPS_OV5LtOV4,b1,b1 Malignant vs TME,0.4,7.767525384931821,8.052859931964086,0.28533454703226546
ju_2024,CPS_OV71_1,ju_2024__CPS_OV71_1,b1,b1 Malignant vs TME,0.4,6.867884268664983,7.645635067995923,0.7777507993309403
yamamoto_2025,Pt1-1,yamamoto_2025__Pt1-1,b1,b1 Malignant vs TME,0.4,7.663998342873872,7.247041190938072,-0.41695715193579996
yamamoto_2025,Pt1-2,yamamoto_2025__Pt1-2,b1,b1 Malignant vs TME,0.4,8.071142166302998,8.275872933534005,0.20473076723100725
yamamoto_2025,Pt1-3,yamamoto_2025__Pt1-3,b1,b1 Malignant vs TME,0.4,7.250522241817427,7.166981965804533,-0.0835402760128936
yamamoto_2025,Pt1-4,yamamoto_2025__Pt1-4,b1,b1 Malignant vs TME,0.4,8.5937506096769,8.955354478982416,0.361603869305517
yamamoto_2025,Pt2-1,yamamoto_2025__Pt2-1,b1,b1 Malignant vs TME,0.4,8.576597704501276,8.074530036763983,-0.5020676677372933
yamamoto_2025,Pt2-2,yamamoto_2025__Pt2-2,b1,b1 Malignant vs TME,0.4,7.620958554080793,7.847066469673722,0.2261079155929293
yamamoto_2025,Pt2-3,yamamoto_2025__Pt2-3,b1,b1 Malignant vs TME,0.4,7.239139785063245,7.219353024792912,-0.01978676027033366
yamamoto_2025,Pt2-4,yamamoto_2025__Pt2-4,b1,b1 Malignant vs TME,0.4,8.20568577684583,7.84345379864761,-0.36223197819821973
denisenko_2022,SP1,denisenko_2022__SP1,b1,b1 Malignant vs TME,0.5,7.781324172658447,7.920134868691192,0.13881069603274465
denisenko_2022,SP2,denisenko_2022__SP2,b1,b1 Malignant vs TME,0.5,8.391652192512534,8.423038603555627,0.031386411043092366
denisenko_2022,SP3,denisenko_2022__SP3,b1,b1 Malignant vs TME,0.5,7.945134968890501,7.817406782092843,-0.12772818679765763
denisenko_2022,SP4,denisenko_2022__SP4,b1,b1 Malignant vs TME,0.5,8.232865838459663,7.85794937439377,-0.3749164640658931
denisenko_2022,SP5,denisenko_2022__SP5,b1,b1 Malignant vs TME,0.5,9.444292675885276,8.82376074143828,-0.620531934446996
denisenko_2022,SP6,denisenko_2022__SP6,b1,b1 Malignant vs TME,0.5,9.092408320409302,7.880579534352031,-1.2118287860572705
denisenko_2022,SP7,denisenko_2022__SP7,b1,b1 Malignant vs TME,0.5,8.384495333278986,8.219703476716768,-0.16479185656221773
denisenko_2022,SP8,denisenko_2022__SP8,b1,b1 Malignant vs TME,0.5,8.066026984143022,7.211020617331542,-0.8550063668114802
ju_2024,CPS_OV19_LtOV1,ju_2024__CPS_OV19_LtOV1,b1,b1 Malignant vs TME,0.5,8.404342392641642,7.819868375576019,-0.5844740170656229
ju_2024,CPS_OV1RtOV3,ju_2024__CPS_OV1RtOV3,b1,b1 Malignant vs TME,0.5,7.995525624502678,8.27779815107767,0.28227252657499236
ju_2024,CPS_OV20RtOV4,ju_2024__CPS_OV20RtOV4,b1,b1 Malignant vs TME,0.5,8.087831446600822,8.323496582436437,0.23566513583561566
ju_2024,CPS_OV24RTOV4,ju_2024__CPS_OV24RTOV4,b1,b1 Malignant vs TME,0.5,8.356633037379861,8.126622545435174,-0.2300104919446877
ju_2024,CPS_OV34RtOV1,ju_2024__CPS_OV34RtOV1,b1,b1 Malignant vs TME,0.5,8.898831698379981,8.977036915362918,0.07820521698293703
ju_2024,CPS_OV5LtOV4,ju_2024__CPS_OV5LtOV4,b1,b1 Malignant vs TME,0.5,8.179716180983926,8.200622434641227,0.020906253657301477
ju_2024,CPS_OV71_1,ju_2024__CPS_OV71_1,b1,b1 Malignant vs TME,0.5,7.291294002171051,7.9586506364460865,0.6673566342750359
yamamoto_2025,Pt1-1,yamamoto_2025__Pt1-1,b1,b1 Malignant vs TME,0.5,7.617208018355457,7.4391207828150145,-0.1780872355404428
yamamoto_2025,Pt1-2,yamamoto_2025__Pt1-2,b1,b1 Malignant vs TME,0.5,8.4315798094238,8.476113816241275,0.0445340068174751
yamamoto_2025,Pt1-3,yamamoto_2025__Pt1-3,b1,b1 Malignant vs TME,0.5,7.501576954212328,7.351958648415479,-0.14961830579684854
yamamoto_2025,Pt1-4,yamamoto_2025__Pt1-4,b1,b1 Malignant vs TME,0.5,8.708038699672207,9.16384601070139,0.4558073110291829
yamamoto_2025,Pt2-1,yamamoto_2025__Pt2-1,b1,b1 Malignant vs TME,0.5,8.92023336015225,8.280602731427887,-0.6396306287243636
yamamoto_2025,Pt2-2,yamamoto_2025__Pt2-2,b1,b1 Malignant vs TME,0.5,7.867875809528166,8.078156978161996,0.21028116863382973
yamamoto_2025,Pt2-3,yamamoto_2025__Pt2-3,b1,b1 Malignant vs TME,0.5,7.566612836798162,7.477547843556368,-0.08906499324179418
yamamoto_2025,Pt2-4,yamamoto_2025__Pt2-4,b1,b1 Malignant vs TME,0.5,8.413166694587689,8.006214167112661,-0.40695252747502764
denisenko_2022,SP1,denisenko_2022__SP1,b1,b1 Malignant vs TME,0.6,8.157152666922416,8.056291540656845,-0.10086112626557053
denisenko_2022,SP2,denisenko_2022__SP2,b1,b1 Malignant vs TME,0.6,8.60611861462956,8.48690257411846,-0.11921604051110002
denisenko_2022,SP3,denisenko_2022__SP3,b1,b1 Malignant vs TME,0.6,8.122138037859715,7.951308839721282,-0.1708291981384331
denisenko_2022,SP4,denisenko_2022__SP4,b1,b1 Malignant vs TME,0.6,8.541875681640212,7.871103580820867,-0.6707721008193452
denisenko_2022,SP5,denisenko_2022__SP5,b1,b1 Malignant vs TME,0.6,9.249306685764608,8.431532633761615,-0.8177740520029939
denisenko_2022,SP6,denisenko_2022__SP6,b1,b1 Malignant vs TME,0.6,9.564157537382872,7.53100134604377,-2.033156191339102
denisenko_2022,SP7,denisenko_2022__SP7,b1,b1 Malignant vs TME,0.6,8.81840635554415,8.412994675886308,-0.405411679657842
denisenko_2022,SP8,denisenko_2022__SP8,b1,b1 Malignant vs TME,0.6,8.32351808222053,7.221539559956685,-1.1019785222638454
ju_2024,CPS_OV19_LtOV1,ju_2024__CPS_OV19_LtOV1,b1,b1 Malignant vs TME,0.6,8.689982196629552,8.060717624083642,-0.6292645725459103
ju_2024,CPS_OV1RtOV3,ju_2024__CPS_OV1RtOV3,b1,b1 Malignant vs TME,0.6,8.374031568549146,8.554752786908502,0.18072121835935562
ju_2024,CPS_OV20RtOV4,ju_2024__CPS_OV20RtOV4,b1,b1 Malignant vs TME,0.6,8.457042708414036,8.695393874234487,0.23835116582045046
ju_2024,CPS_OV24RTOV4,ju_2024__CPS_OV24RTOV4,b1,b1 Malignant vs TME,0.6,8.705058161442567,8.283097171513168,-0.42196098992939923
ju_2024,CPS_OV34RtOV1,ju_2024__CPS_OV34RtOV1,b1,b1 Malignant vs TME,0.6,9.084323613885656,9.06420771325196,-0.02011590063369617
ju_2024,CPS_OV5LtOV4,ju_2024__CPS_OV5LtOV4,b1,b1 Malignant vs TME,0.6,8.531565326361052,8.344614275807036,-0.18695105055401662
ju_2024,CPS_OV71_1,ju_2024__CPS_OV71_1,b1,b1 Malignant vs TME,0.6,7.593074934096536,8.218947003383096,0.6258720692865607
yamamoto_2025,Pt1-1,yamamoto_2025__Pt1-1,b1,b1 Malignant vs TME,0.6,7.589255396542844,7.598460200995856,0.009204804453011306
yamamoto_2025,Pt1-2,yamamoto_2025__Pt1-2,b1,b1 Malignant vs TME,0.6,8.806855054652594,8.663899454464492,-0.1429556001881025
yamamoto_2025,Pt1-3,yamamoto_2025__Pt1-3,b1,b1 Malignant vs TME,0.6,7.79488909077879,7.564479507957659,-0.23040958282113078
