balance,balance_label,malignant_threshold,n_samples,high_median,high_q25,high_q75,low_median,low_q25,low_q75,median_high_minus_low,diff_q25,diff_q75,direction_consistency_high_gt_low,high_fraction_above_zero,low_fraction_above_zero,paired_wilcoxon_p,paired_wilcoxon_p_holm,paired_wilcoxon_sig_holm
b4,b4 Myeloid vs lymphoid,0.1,23,1.3395168675614078,0.792316409317151,1.73380908172278,1.9333359248107684,0.7737866439890954,2.608232921982162,-0.49900685511519804,-0.6468251516831024,0.21944240919693941,0.391304347826087,0.8695652173913043,0.8695652173913043,0.09798812866210938,1.0,
b4,b4 Myeloid vs lymphoid,0.2,23,1.151669028244389,0.7559348654103514,1.669694963991942,1.7164028349051357,0.7921100969987218,2.3990405902717367,-0.35888719522633117,-0.6044603439464238,0.3886408925678033,0.34782608695652173,0.8260869565217391,0.8695652173913043,0.2467491626739502,1.0,
b4,b4 Myeloid vs lymphoid,0.3,23,0.9434960070786496,0.7073685036954623,1.556294795727551,1.3826460417674709,0.8438109117144283,2.1714929769701685,-0.12821706155909218,-0.4926225195142249,0.36242320999214994,0.34782608695652173,0.8260869565217391,0.8695652173913043,0.4274179935455322,1.0,
b4,b4 Myeloid vs lymphoid,0.4,23,0.9621700492400396,0.607089891720622,1.4095889748845383,1.044163696158638,0.7274025260059855,1.664001459327432,-0.06644881399024449,-0.3250090493570161,0.2670209474695773,0.4782608695652174,0.8260869565217391,0.8695652173913043,0.7539846897125244,1.0,
b4,b4 Myeloid vs lymphoid,0.5,23,0.8143687932246335,0.4052547864238742,1.15242674123593,0.9237834831595588,0.49841874486063076,1.335520015785433,0.06694374764153355,-0.30720988365668533,0.36306828716398154,0.5652173913043478,0.8695652173913043,0.8260869565217391,0.7090141773223877,1.0,
b4,b4 Myeloid vs lymphoid,0.6,23,0.6228900797968926,0.188431127416819,1.1651985821629243,0.5745130209500088,0.31078403579666003,0.9865349540709395,0.056595195849980795,-0.19851956878017363,0.4185023439703145,0.5217391304347826,0.8260869565217391,0.8260869565217391,0.44520044326782227,1.0,
b4,b4 Myeloid vs lymphoid,0.7,23,0.3915500283571441,0.0637430782362513,0.9416958727124525,0.3927346159028863,-0.031000353281634998,0.693384210577068,-0.01810018570200861,-0.24753373270238122,0.5803843067899994,0.4782608695652174,0.8260869565217391,0.6956521739130435,0.28614330291748047,1.0,
b4,b4 Myeloid vs lymphoid,0.8,23,0.1546300434818379,-0.1666273565154769,0.7317666619095963,-0.0729944365131651,-0.36417582002052895,0.4963002185812394,0.2723785494547528,-0.3041325567014337,0.6538587257094152,0.6086956521739131,0.6086956521739131,0.4782608695652174,0.18954229354858398,1.0,
b4,b4 Myeloid vs lymphoid,0.9,23,-0.101978132063608,-0.22356068984581565,0.31146206547690514,-0.2391576633502621,-0.5521249727244958,0.19269391139882605,0.22513357796574557,-0.22880649052217872,0.6015859112673447,0.6521739130434783,0.4782608695652174,0.391304347826087,0.20015525817871094,1.0,
b4,b4 Myeloid vs lymphoid,1.0,23,5.542431292347674e-17,5.542431292347674e-17,5.542431292347674e-17,5.542431292347674e-17,5.542431292347674e-17,5.542431292347674e-17,0.0,0.0,0.0,0.0,1.0,1.0,,,
b9,b9 T/NK vs B/plasma,0.1,23,-3.1588532754235854,-4.410837947068959,-2.4269391394674824,-4.400155036611894,-6.028499586576499,-3.370783029282175,0.8001890663669222,0.36318561285221695,1.916375646819029,0.9130434782608695,0.043478260869565216,0.043478260869565216,7.867813110351562e-06,0.0003383159637451172,***
b9,b9 T/NK vs B/plasma,0.2,23,-3.1716097833805548,-4.328891115828313,-2.306128826726117,-4.05344617511728,-5.826860451707393,-3.110149584373577,0.8818363917367251,0.29342250605273074,1.8605908212615008,0.9130434782608695,0.043478260869565216,0.043478260869565216,2.09808349609375e-05,0.000881195068359375,***
b9,b9 T/NK vs B/plasma,0.3,23,-3.236564715146542,-4.237576795384299,-2.1774734288449817,-4.121011862749198,-5.615475135994614,-2.823812275874803,0.8338819543499809,0.33480451134085043,1.669210631699922,0.8260869565217391,0.043478260869565216,0.043478260869565216,2.6226043701171875e-05,0.0010752677917480469,**
b9,b9 T/NK vs B/plasma,0.4,23,-3.1731341179215886,-4.035867100952296,-1.9834838553669905,-3.9438969060546336,-5.33922573184467,-2.8053013608431385,0.7605840362318244,0.29629519628481926,1.6570355693886378,0.782608695652174,0.043478260869565216,0.043478260869565216,8.845329284667969e-05,0.003449678421020508,**
b9,b9 T/NK vs B/plasma,0.5,23,-2.866099180208771,-3.7003517703864945,-1.90569543069658,-3.620728037365292,-4.892048414781836,-2.5480587528093963,0.7492119830362083,0.21092270296217897,1.4285818346267296,0.9130434782608695,0.0,0.0,4.029273986816406e-05,0.0016117095947265625,**
b9,b9 T/NK vs B/plasma,0.6,23,-2.3342486062538192,-3.365774059261952,-1.552964080543032,-3.174015139831566,-4.27981456548059,-2.138416763674349,0.7247548590997579,0.24829224412918294,1.473863975394784,0.8260869565217391,0.0,0.043478260869565216,0.00025343894958496094,0.009377241134643555,**
b9,b9 T/NK vs B/plasma,0.7,23,-1.824803828631261,-2.7973703350884627,-1.1172911184153016,-3.072712865515553,-3.4563848129883583,-1.715484981768014,0.5763734428294598,0.2848008537184557,1.2436612400485116,0.8260869565217391,0.0,0.043478260869565216,0.0008494853973388672,0.03058147430419922,*
b9,b9 T/NK vs B/plasma,0.8,23,-1.2694319854032856,-2.0020406254463117,-0.9144954586350993,-1.8013504609786417,-2.348070525280086,-1.4804766099335254,0.48282533168598984,0.061243547791711817,0.7903457152122961,0.8260869565217391,0.043478260869565216,0.043478260869565216,0.003874063491821289,0.12397003173828125,
b9,b9 T/NK vs B/plasma,0.9,23,-0.5294900135265217,-1.02458582489219,-0.31249137229523755,-0.9229198700472044,-1.221038181767703,-0.5119948670380402,0.26137698942484544,-0.44335746116222696,0.7319822077154251,0.6956521739130435,0.13043478260869565,0.08695652173913043,0.15107226371765137,1.0,
b9,b9 T/NK vs B/plasma,1.0,23,-2.0189770767948282e-18,-2.0189770767948282e-18,-2.0189770767948282e-18,-2.0189770767948282e-18,-2.0189770767948282e-18,-2.0189770767948282e-18,0.0,0.0,0.0,0.0,0.0,0.0,,,
