release_path,line,match,status
scripts\python\build_hh_state_family_count_composite.py,11,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready"")",needs_config_parameterization
scripts\python\family_topgene_coherence_plots.py,15,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\regenerate_umap_companion_panels_reference_family.py,14,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\build_hh_state_mp_enrichmap_count_composite.py,22,"ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready"")",needs_config_parameterization
scripts\python\spottedpy_v2_hotspot_preflight.py,31,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_hotspot_preflight.py,33,"CODE_ROOT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_revised_hotspot_preflight.py,53,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_revised_hotspot_preflight.py,55,"CODE_ROOT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_distance_design_availability_preflight.py,12,"PROJECT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\SpottedPy_v2_paper_aligned"")",needs_config_parameterization
scripts\python\spottedpy_v2_distance_design_availability_preflight.py,27,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs""",needs_config_parameterization
scripts\python\spottedpy_v2_distance_preflight_calculate.py,21,"PROJECT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\SpottedPy_v2_paper_aligned"")",needs_config_parameterization
scripts\python\spottedpy_v2_distance_spottedpy_native_preflight.py,19,"SPOTTEDPY_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\git_clones\SpottedPy-main"")",needs_config_parameterization
scripts\python\spottedpy_v2_distance_spottedpy_native_preflight.py,20,"PROJECT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\SpottedPy_v2_paper_aligned"")",needs_config_parameterization
scripts\python\spottedpy_v2_distance_full_promotion.py,12,"PROJECT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\SpottedPy_v2_paper_aligned"")",needs_config_parameterization
scripts\python\spottedpy_v2_distance_full_promotion.py,13,"CODE_ROOT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_distance_full_promotion.py,37,"Path(r""C:\Users\luchu\Documents\MSc\Master Thesis"")",needs_config_parameterization
scripts\python\spottedpy_v2_kstar_component_distance_tests_preflight.py,21,"PROJECT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\SpottedPy_v2_paper_aligned"")",needs_config_parameterization
scripts\python\spottedpy_v2_consensus_source_neighborhood_preflight.py,27,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_consensus_source_neighborhood_preflight.py,29,"CODE_ROOT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_source_group_correlation_contrast_preflight.py,38,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs""",needs_config_parameterization
scripts\python\spottedpy_v2_neighborhood_postprocess_ranked_and_source_comparisons.py,20,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\SpottedPy_v2_paper_aligned""",needs_config_parameterization
