dataset,sample,n_clusters,domain,n_spots,pct_Tumor,pct_Stroma,pct_Interface,category
visium/yamamoto_2025,Pt1-1,5,4,161,0.0,95.03105590062113,4.968944099378882,Stroma-pure
visium/yamamoto_2025,Pt1-2,5,0,184,1.6304347826086956,80.97826086956522,17.391304347826086,Stroma-Interface
visium/yamamoto_2025,Pt1-2,5,1,246,96.7479674796748,0.0,3.2520325203252036,Tumor-pure
visium/yamamoto_2025,Pt1-2,5,2,293,78.15699658703072,1.023890784982935,20.819112627986346,Tumor-Interface
visium/yamamoto_2025,Pt1-2,5,3,242,84.29752066115702,0.4132231404958678,15.289256198347106,Tumor-Interface
visium/yamamoto_2025,Pt1-2,5,4,166,2.4096385542168677,47.59036144578313,50.0,Interface-dominant
visium/yamamoto_2025,Pt1-3,5,0,625,83.84,0.16,16.0,Tumor-Interface
visium/yamamoto_2025,Pt1-3,5,1,378,2.91005291005291,58.201058201058196,38.88888888888889,Stroma-Interface
visium/yamamoto_2025,Pt1-3,5,2,525,68.38095238095238,0.9523809523809524,30.666666666666664,Tumor-Interface
visium/yamamoto_2025,Pt1-3,5,3,309,91.9093851132686,0.0,8.090614886731391,Tumor-pure
visium/yamamoto_2025,Pt1-3,5,4,165,91.51515151515152,0.0,8.484848484848486,Tumor-pure
visium/yamamoto_2025,Pt1-4,5,0,502,97.01195219123507,0.0,2.9880478087649402,Tumor-pure
visium/yamamoto_2025,Pt1-4,5,1,403,62.03473945409429,1.240694789081886,36.72456575682382,Tumor-Interface
visium/yamamoto_2025,Pt1-4,5,2,263,1.520912547528517,51.71102661596958,46.7680608365019,Stroma-Interface
visium/yamamoto_2025,Pt1-4,5,3,141,3.546099290780142,65.95744680851064,30.49645390070922,Stroma-Interface
visium/yamamoto_2025,Pt1-4,5,4,78,39.743589743589745,3.8461538461538463,56.41025641025641,Interface-dominant
visium/yamamoto_2025,Pt2-1,5,0,476,51.26050420168067,17.016806722689076,31.72268907563025,Tumor-Interface
visium/yamamoto_2025,Pt2-1,5,1,412,99.02912621359224,0.0,0.9708737864077669,Tumor-pure
visium/yamamoto_2025,Pt2-1,5,2,384,25.260416666666668,31.25,43.48958333333333,Interface-dominant
visium/yamamoto_2025,Pt2-1,5,3,390,55.38461538461539,12.564102564102564,32.05128205128205,Tumor-Interface
visium/yamamoto_2025,Pt2-1,5,4,171,4.678362573099415,58.47953216374269,36.84210526315789,Stroma-Interface
visium/yamamoto_2025,Pt2-2,5,0,763,74.5740498034076,2.8833551769331587,22.542595019659238,Tumor-Interface
visium/yamamoto_2025,Pt2-2,5,1,425,76.70588235294117,6.11764705882353,17.176470588235293,Tumor-Interface
visium/yamamoto_2025,Pt2-2,5,2,370,36.21621621621622,16.216216216216218,47.56756756756757,Interface-dominant
visium/yamamoto_2025,Pt2-2,5,3,359,33.42618384401114,10.584958217270195,55.98885793871866,Interface-dominant
visium/yamamoto_2025,Pt2-2,5,4,109,57.798165137614674,25.688073394495415,16.51376146788991,Tumor-Interface
visium/yamamoto_2025,Pt2-3,5,0,677,98.3751846381093,0.0,1.6248153618906942,Tumor-pure
visium/yamamoto_2025,Pt2-3,5,1,572,42.83216783216783,36.888111888111894,20.27972027972028,Mixed
visium/yamamoto_2025,Pt2-3,5,2,374,47.05882352941176,21.390374331550802,31.550802139037433,Mixed
visium/yamamoto_2025,Pt2-3,5,3,316,55.06329113924051,22.151898734177212,22.78481012658228,Tumor-Interface
visium/yamamoto_2025,Pt2-3,5,4,172,38.95348837209303,19.767441860465116,41.27906976744186,Interface-dominant
visium/yamamoto_2025,Pt2-4,5,0,950,91.6842105263158,0.631578947368421,7.684210526315789,Tumor-pure
visium/yamamoto_2025,Pt2-4,5,1,922,8.026030368763557,82.10412147505423,9.869848156182211,Stroma-pure
visium/yamamoto_2025,Pt2-4,5,2,565,0.35398230088495575,94.69026548672566,4.95575221238938,Stroma-pure
visium/yamamoto_2025,Pt2-4,5,3,308,91.55844155844156,0.0,8.441558441558442,Tumor-pure
visium/yamamoto_2025,Pt2-4,5,4,525,58.47619047619048,14.666666666666666,26.857142857142858,Tumor-Interface
visium/ju_2024,CPS_OV19_LtOV1,5,0,919,13.81936887921654,59.630032644178456,26.550598476605003,Stroma-Interface
visium/ju_2024,CPS_OV19_LtOV1,5,1,898,71.49220489977728,3.5634743875278394,24.94432071269488,Tumor-Interface
visium/ju_2024,CPS_OV19_LtOV1,5,2,628,60.98726114649682,20.85987261146497,18.152866242038215,Tumor-Interface
visium/ju_2024,CPS_OV19_LtOV1,5,3,752,72.07446808510637,1.7287234042553192,26.1968085106383,Tumor-Interface
visium/ju_2024,CPS_OV19_LtOV1,5,4,1005,54.12935323383085,15.92039800995025,29.950248756218905,Tumor-Interface
visium/ju_2024,CPS_OV1RtOV3,5,0,1065,72.48826291079811,1.5023474178403755,26.009389671361504,Tumor-Interface
visium/ju_2024,CPS_OV1RtOV3,5,1,902,79.26829268292683,1.1086474501108647,19.623059866962304,Tumor-Interface
visium/ju_2024,CPS_OV1RtOV3,5,2,378,66.93121693121694,0.7936507936507936,32.27513227513227,Tumor-Interface
visium/ju_2024,CPS_OV1RtOV3,5,3,190,87.89473684210526,0.0,12.105263157894736,Tumor-Interface
