domain,Malignant,CAF,Endothelial,Plasma,B cell,T CD4,T CD8,NK,cDC,pDC,Macrophage,Mast,Neutrophil,Unidentifiable,dataset,sample
4,0.1841967670254019,0.4840131782832435,0.0147686881744306,0.030295613555651,0.0112941617128183,0.0075503809713442,0.005286157361171,0.0006893966693972,0.0087449749820599,0.0136413198989301,0.159284888761696,0.0001203667984072,0.0001697960361899,0.0799443097692587,visium/denisenko_2022,SP6
0,0.5992386329933211,0.0502883291380733,0.0586829307069016,0.0057248483601972,0.0180737925809472,0.0063081302218119,0.0001701647123158,0.000371496186182,0.0056058433132159,0.0101367747117404,0.0183469973702499,0.0015601768448262,0.0021284264602894,0.2233636906917269,visium/denisenko_2022,SP7
1,0.8105039822431127,0.0275682875454214,0.0351176981713332,0.002700101145926,0.0088319057647442,0.0041191623292671,0.0001988361176703,0.00046266634883,0.0026606142277745,0.0068368904361526,0.0126995434445192,0.0009805779665932,0.0010392985885997,0.0862825328922774,visium/denisenko_2022,SP7
2,0.2111747666789295,0.1643991561921051,0.1245971436852784,0.0089607777935313,0.0299227627349066,0.0106688462877627,0.0003335999737235,0.0006350851960673,0.0093578644472542,0.0216177240275703,0.0478957024481615,0.0016926252591562,0.0023749027560722,0.3663690425194804,visium/denisenko_2022,SP7
3,0.4330997664330998,0.1611758418529069,0.0902434472634541,0.0067628268371302,0.0131086848356455,0.0094594565587651,0.0002449063743089,0.0008869202053826,0.0062214821549204,0.01829096332865,0.0316163919953159,0.0013023788108642,0.0016809583711242,0.2259060984352216,visium/denisenko_2022,SP7
4,0.3072791181439264,0.319911268419921,0.1104562882016498,0.0044043754179885,0.006775296345579,0.0052584434129507,0.0006997086783652,0.0012359698508616,0.0038565733851343,0.0139429074714351,0.0331263221883442,0.0015492116830588,0.0012883267735351,0.1902161900272497,visium/denisenko_2022,SP7
0,0.1827182718271827,0.4694064569497303,0.1130486923106246,0.0003252859266099,0.0022841400970686,0.0011218518608883,0.0006643868351085,0.0011149897592325,0.0033115845578067,0.0055719365161535,0.0072315576034551,0.0034184535390551,0.0003335299942965,0.2094488622227869,visium/denisenko_2022,SP8
1,0.1580952640004973,0.3874826831098426,0.1243449980336385,0.0008053177182256,0.0095095769901957,0.0023620845557373,0.001176584669412,0.0014298690063986,0.0049899625678447,0.0176295563566297,0.010974988059118,0.0072477639141348,0.0010751811638441,0.2728761698544804,visium/denisenko_2022,SP8
2,0.8302004773009016,0.0225943347999579,0.0336110107550934,0.0033235212324112,0.0062996067714384,0.0023600414318759,0.0005448535786844,0.0003431394012775,0.0048658012611674,0.0106392873978749,0.0092058884638795,0.0010799677321224,0.0004254456354187,0.0745097130409848,visium/denisenko_2022,SP8
3,0.3669162714590787,0.1738913556859073,0.094404641347579,0.0030360776196502,0.022284168068807,0.0057257082782892,0.002040018188009,0.0022935290560061,0.0046613497251858,0.0157619513194373,0.0099512677404475,0.0060541185633113,0.0032470522174921,0.2897324907307989,visium/denisenko_2022,SP8
