domain,mean,std,median,count,dataset,sample
3,0.0666877745469502,0.9686277082369243,0.0297061572588466,277.0,visium/yamamoto_2025,Pt2-1
4,-1.2312066717543475,1.2305979374265037,-1.2201823163255303,169.0,visium/yamamoto_2025,Pt2-1
5,0.3803990712724808,0.7572186778048392,0.3309842390629448,166.0,visium/yamamoto_2025,Pt2-1
6,-0.4989643011492097,1.3063855721399251,-0.5585642434682584,85.0,visium/yamamoto_2025,Pt2-1
7,0.6970381305088418,0.9091022226464348,0.649234509799254,132.0,visium/yamamoto_2025,Pt2-1
8,-0.2514926774597566,0.7303171534975467,-0.2409547340917068,120.0,visium/yamamoto_2025,Pt2-1
0,0.259485769656303,0.913350113469969,0.2423341470372245,462.0,visium/yamamoto_2025,Pt2-2
1,0.1919454372657517,0.8096673141211146,0.1883831443718555,172.0,visium/yamamoto_2025,Pt2-2
2,-0.1441421393224581,0.9743353403272718,-0.2179408278265527,182.0,visium/yamamoto_2025,Pt2-2
3,-0.283443289496861,0.9957024989204948,-0.1605633461195049,240.0,visium/yamamoto_2025,Pt2-2
4,0.1307602364358554,1.0551433468120184,0.0681352598064823,345.0,visium/yamamoto_2025,Pt2-2
5,0.006805644309989,0.925486009282156,0.0034655191511331,174.0,visium/yamamoto_2025,Pt2-2
6,0.1174104508354598,1.0358611666612112,-0.0171109887743711,230.0,visium/yamamoto_2025,Pt2-2
7,-0.6920696835188433,1.2037492956405411,-0.7052521218090079,105.0,visium/yamamoto_2025,Pt2-2
8,-0.3877632976101622,0.933444747079979,-0.3505704025476127,116.0,visium/yamamoto_2025,Pt2-2
0,0.0096422097681609,0.7662921334752224,0.038254429626556,362.0,visium/yamamoto_2025,Pt2-3
1,-0.0802520709493026,1.055137846433141,-0.0288825791122821,397.0,visium/yamamoto_2025,Pt2-3
2,0.4329757838121109,1.23108209614009,0.3882900472342575,239.0,visium/yamamoto_2025,Pt2-3
3,-0.7936942658780781,1.1976348880487615,-0.8096381337666206,156.0,visium/yamamoto_2025,Pt2-3
4,0.028109705935533,0.8178903457880256,0.0105656513337555,271.0,visium/yamamoto_2025,Pt2-3
5,0.3707634222007314,0.8699912178524782,0.3612685095016895,258.0,visium/yamamoto_2025,Pt2-3
6,-1.1005337950660632,1.532297646957482,-1.169076291091269,131.0,visium/yamamoto_2025,Pt2-3
7,-0.1348266435262874,1.0100011596968093,-0.0784974997231052,153.0,visium/yamamoto_2025,Pt2-3
8,-0.0210784712601165,0.9452649892553344,0.0935801861889048,144.0,visium/yamamoto_2025,Pt2-3
0,-0.0627405170511121,1.0348971373604494,-0.0872089141573169,904.0,visium/yamamoto_2025,Pt2-4
1,-0.1991483168567208,0.7690330156193408,-0.2604915411936173,521.0,visium/yamamoto_2025,Pt2-4
2,0.7597398498532473,0.7809959656167846,0.7850856454641113,240.0,visium/yamamoto_2025,Pt2-4
3,-0.1290858711719618,0.6947756032078549,-0.1938651996845142,308.0,visium/yamamoto_2025,Pt2-4
4,0.0295282666745795,0.8426531156573063,0.0427590771702643,278.0,visium/yamamoto_2025,Pt2-4
5,-0.7957048383859083,0.9564344853972222,-0.8994092797739714,315.0,visium/yamamoto_2025,Pt2-4
6,0.5520051229542351,0.7903102199313924,0.532781090083272,405.0,visium/yamamoto_2025,Pt2-4
7,0.464387960272978,1.203864501198973,0.5802715147421964,190.0,visium/yamamoto_2025,Pt2-4
8,-0.1498392046508715,0.6793319793288612,-0.1730820480410493,109.0,visium/yamamoto_2025,Pt2-4
