review_role,selected_k,analysis_tier,feature_method,sample,dataset,relationship,stratum,variant,variant_label,spearman_rho,spearman_pvalue,n_spots
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_smooth_corrected,Smoothed corrected,-0.2727733605031511,4.7452878737336535e-09,446
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.3065278237577873,3.710162056305885e-11,446
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.1865651428055497,7.376183373001256e-05,446
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_smooth_corrected,Smoothed corrected,-0.2230978801256811,0.00013101633621122937,289
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.12978860915562979,0.027371144691985677,289
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.032342500894881276,0.5839783164208847,289
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_smooth_corrected,Smoothed corrected,0.17160368177088114,2.0451719344561725e-06,757
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.10901652010145123,0.002669464381637834,757
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,0.17653403138833962,1.0212384487236452e-06,757
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_total_counts,all,,,0.26038612092808344,1.5125064622427375e-24,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_n_genes_by_counts,all,,,0.3168219662750889,3.866344573596861e-36,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_n_genes,all,,,0.3168219662750889,3.866344573596861e-36,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_n_counts,all,,,0.26038612092808344,1.5125064622427375e-24,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,isodepth_vs_Malignant,all,,,0.5987063418136329,8.406814126747296e-146,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_corrected,Smoothed corrected vs Unsmoothed corrected,0.31249296966595835,3.728299594830002e-35,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Smoothed corrected vs Unsmoothed uncorrected,0.2732568546980893,5.839937030857668e-27,1492
supplementary_pearson_usable,5,supplementary_pearson,pearson,SP3,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_unsmoothed_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Unsmoothed corrected vs Unsmoothed uncorrected,0.8290209364093145,0.0,1492
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,all,snai1ac_em_smooth_corrected,Smoothed corrected,0.04690578161086122,0.012359039120627394,2844
