dataset,sample,feature_method,analysis_tier,selected_k,score_column,score_label,n_spots,observed_vs_fitted_pearson_r,in_sample_r2,n_positive_domain_slopes,n_negative_domain_slopes,n_zero_domain_slopes,both_positive_and_negative_slopes
ju_2024,CPS_OV20RtOV4,pearson,supplementary_pearson,4,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,3035,0.2237158842317726,0.050048796857603994,3,1,0,True
ju_2024,CPS_OV24RTOV4,glmpca,primary_glmpca,5,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,4479,0.386539938775475,0.14941312426854803,3,2,0,True
ju_2024,CPS_OV24RTOV4,glmpca,primary_glmpca,5,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,4479,0.21276945016013005,0.04527083892144412,3,2,0,True
ju_2024,CPS_OV24RTOV4,glmpca,primary_glmpca,5,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,4479,0.3161170588765413,0.09992999491275478,2,3,0,True
ju_2024,CPS_OV34RtOV1,glmpca,primary_glmpca,4,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,3515,0.22791169727680927,0.05194374175559602,2,2,0,True
ju_2024,CPS_OV34RtOV1,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,3515,0.11796546402962192,0.013915850703724031,2,2,0,True
ju_2024,CPS_OV34RtOV1,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,3515,0.4563355973308049,0.20824217739126238,3,1,0,True
ju_2024,CPS_OV5LtOV4,glmpca,primary_glmpca,4,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,3585,0.24948921053729234,0.062244866174521296,4,0,0,False
ju_2024,CPS_OV5LtOV4,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,3585,0.1284863617457744,0.01650874515466616,4,0,0,False
ju_2024,CPS_OV5LtOV4,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,3585,0.2532401022703034,0.06413054939787377,4,0,0,False
ju_2024,CPS_OV71_1,glmpca,primary_glmpca,4,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,2160,0.33847032001248845,0.11456215752935617,2,2,0,True
ju_2024,CPS_OV71_1,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,2160,0.15496423406565984,0.024013913839556644,2,2,0,True
ju_2024,CPS_OV71_1,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,2160,0.24114446757559785,0.05815065424231869,3,1,0,True
yamamoto_2025,Pt1-1,glmpca,primary_glmpca,3,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,1525,0.4237060102950839,0.17952678316017778,2,1,0,True
yamamoto_2025,Pt1-1,glmpca,primary_glmpca,3,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,1525,0.27855034817202456,0.07759029646675619,2,1,0,True
yamamoto_2025,Pt1-1,glmpca,primary_glmpca,3,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,1525,0.29933670651480615,0.08960246386713122,2,1,0,True
yamamoto_2025,Pt1-2,glmpca,primary_glmpca,4,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,1131,0.5858390287306668,0.3432073675840913,2,2,0,True
