"comparison","gene","log2FC","padj","direction"
"PEO4_SNAI1_vs_GFP","ICA1",-4.26890956668233,0,"DOWN"
"PEO4_SNAI1_vs_GFP","WNT5A-AS1",6.4375374076299,1.39112048265151e-05,"UP"
"PEO4_SNAI1_vs_GFP","FHIT",-2.34849355344769,0.0355616258192461,"DOWN"
"PEO4_SNAI1_vs_GFP","GATA6",3.59585579480404,1.47347977271094e-06,"UP"
"PEO4_SNAI1_vs_GFP","UBE2QL1",5.84209560120281,0.00180330282233397,"UP"
"PEO4_SNAI1_vs_GFP","CAPS",-2.3049018334502,2.51346728127137e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","IL1RL1",2.9575577845696,0.028157840726999,"UP"
"PEO4_SNAI1_vs_GFP","DSCAML1",2.6482547941736,0.000399506050587108,"UP"
"PEO4_SNAI1_vs_GFP","ARFGEF3",-2.31895357788446,2.07838797742809e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","TGFBR3",2.10669592692468,0.000606376182368339,"UP"
"PEO4_SNAI1_vs_GFP","PLCE1-AS1",6.279029637817,5.64995595028786e-05,"UP"
"PEO4_SNAI1_vs_GFP","CRYBG1",-1.86679134986481,0.00813227513573838,"DOWN"
"PEO4_SNAI1_vs_GFP","COL24A1",4.93362881116142,1.82789479848585e-11,"UP"
"PEO4_SNAI1_vs_GFP","IFI6",-4.36991322410849,0,"DOWN"
"PEO4_SNAI1_vs_GFP","CTSD",-2.74713824027412,2.99238643806329e-08,"DOWN"
"PEO4_SNAI1_vs_GFP","UNC5A",-2.12235757690128,0.000682250266543869,"DOWN"
"PEO4_SNAI1_vs_GFP","TGFB2-OT1",6.32235268427746,3.88268372544877e-05,"UP"
"PEO4_SNAI1_vs_GFP","ANK1",2.26427503781772,0.000378954809276433,"UP"
"PEO4_SNAI1_vs_GFP","POLR3G",-2.09004000072686,0.000501698933372781,"DOWN"
"PEO4_SNAI1_vs_GFP","PNMA3",2.40255079697664,8.26447667817037e-06,"UP"
"PEO4_SNAI1_vs_GFP","COMTD1",-2.1470921725757,0.000667723943725453,"DOWN"
"PEO4_SNAI1_vs_GFP","EPHB2",-2.53919095164583,7.36675338114373e-07,"DOWN"
"PEO4_SNAI1_vs_GFP","KCNV1",-2.44236434696768,7.4803648457677e-06,"DOWN"
"PEO4_SNAI1_vs_GFP","THRSP",-4.85839046555748,0,"DOWN"
"PEO4_SNAI1_vs_GFP","FLNC",2.26809760984377,5.82107900119127e-05,"UP"
"PEO4_SNAI1_vs_GFP","GRID1",5.33435246199315,5.09262300032991e-07,"UP"
"PEO4_SNAI1_vs_GFP","ADAMTS12",5.4829257871323,0,"UP"
"PEO4_SNAI1_vs_GFP","LINC01488",6.14755985591006,0.000172106384856937,"UP"
"PEO4_SNAI1_vs_GFP","HELZ2",-2.03743078726098,0.000951012438591134,"DOWN"
"PEO4_SNAI1_vs_GFP","ACVRL1",3.5920963967748,7.5409365074532e-05,"UP"
"PEO4_SNAI1_vs_GFP","FUT5",-2.44867308538943,0.000681052936881561,"DOWN"
"PEO4_SNAI1_vs_GFP","GJA8",5.45408707717119,0.0227400730600457,"UP"
"PEO4_SNAI1_vs_GFP","NTN3",5.66109643127103,0.0062220478638207,"UP"
"PEO4_SNAI1_vs_GFP","NFASC",5.07641700336596,0,"UP"
"PEO4_SNAI1_vs_GFP","BHLHE41",-4.95694739564768,0,"DOWN"
"PEO4_SNAI1_vs_GFP","RPL21P75",-6.08613409065174,0.00022637942490373,"DOWN"
"PEO4_SNAI1_vs_GFP","LGR6",2.02860196429577,0.00133602838688291,"UP"
"PEO4_SNAI1_vs_GFP","PROM2",-2.26614041843649,4.1314494679272e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","WFDC1",3.26470233619307,7.74119709359664e-05,"UP"
"PEO4_SNAI1_vs_GFP","AC002066.1",2.87712472419627,3.61589343732713e-05,"UP"
"PEO4_SNAI1_vs_GFP","TBC1D30",-2.44250143084308,0.000107574869566667,"DOWN"
"PEO4_SNAI1_vs_GFP","AC024592.12",-3.7885061028279,0.000504041693210303,"DOWN"
"PEO4_SNAI1_vs_GFP","CCNO",-2.66853041198037,5.48543536447968e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","AMTN",4.11732380676216,0.000452010492572576,"UP"
"PEO4_SNAI1_vs_GFP","PDYN",3.95437551734953,2.20539481121662e-10,"UP"
"PEO4_SNAI1_vs_GFP","VCAN",4.60418350071127,0,"UP"
"PEO4_SNAI1_vs_GFP","KCNK15",-2.9074168172005,5.19329569731941e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","ADTRP",-3.27760202337543,3.01260720074008e-10,"DOWN"
"PEO4_SNAI1_vs_GFP","DDR2",2.58008146666753,0.000290300356382561,"UP"
"PEO4_SNAI1_vs_GFP","ADGRF1",-1.80376275117857,0.0173305536844005,"DOWN"
"PEO4_SNAI1_vs_GFP","RP11-116O18.1",3.62882806903171,0.000281489659363563,"UP"
"PEO4_SNAI1_vs_GFP","AEBP1",2.67687984765171,3.35078062995926e-06,"UP"
"PEO4_SNAI1_vs_GFP","SLC2A3",2.45824858465802,3.28139260046144e-06,"UP"
"PEO4_SNAI1_vs_GFP","RP1-127C7.8",3.50388940403464,0.000190483263270734,"UP"
"PEO4_SNAI1_vs_GFP","GPR17",4.4155960486475,0.00324666201100552,"UP"
"PEO4_SNAI1_vs_GFP","MCOLN2",-2.04807600540943,0.0159870650262017,"DOWN"
"PEO4_SNAI1_vs_GFP","SCARB1",-2.35054699639499,1.78404905702273e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","HEG1",3.96511303111329,0,"UP"
"PEO4_SNAI1_vs_GFP","ADRA2A",5.26127724570105,0,"UP"
"PEO4_SNAI1_vs_GFP","LINGO1",2.12973610965596,0.000639492297895734,"UP"
"PEO4_SNAI1_vs_GFP","BDKRB2",-3.11681462585273,0.0278562429169364,"DOWN"
"PEO4_SNAI1_vs_GFP","ALDH1A3",-2.51118837957845,1.23256053526659e-06,"DOWN"
"PEO4_SNAI1_vs_GFP","C6orf15",-2.3842281052865,0.0110163038323024,"DOWN"
"PEO4_SNAI1_vs_GFP","EDN2",2.20453268115414,0.00800148832393771,"UP"
"PEO4_SNAI1_vs_GFP","HS3ST3B1",4.71335643205164,0.000117548459566517,"UP"
"PEO4_SNAI1_vs_GFP","MMP1",8.85546631968205,0,"UP"
"PEO4_SNAI1_vs_GFP","FGF5",-2.76056637117259,2.46799763439302e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","CHST15",2.11179775089916,0.00111455120080875,"UP"
"PEO4_SNAI1_vs_GFP","APLP1",2.91289998756623,6.89857498054142e-08,"UP"
"PEO4_SNAI1_vs_GFP","DBNDD1",-2.11063914861854,0.000533993825431333,"DOWN"
"PEO4_SNAI1_vs_GFP","ICAM5",6.74100788824858,6.67254537892969e-07,"UP"
"PEO4_SNAI1_vs_GFP","CNTN1",-4.96772213313944,0,"DOWN"
"PEO4_SNAI1_vs_GFP","AMN",-2.20520179807406,0.0015312499802635,"DOWN"
"PEO4_SNAI1_vs_GFP","NECTIN4",-3.10489922116795,5.29068924666014e-10,"DOWN"
"PEO4_SNAI1_vs_GFP","RP11-108O10.8",-5.71098165243853,0.00378510859860164,"DOWN"
"PEO4_SNAI1_vs_GFP","SCN1B",4.66754924577572,0.000399506050587108,"UP"
"PEO4_SNAI1_vs_GFP","CACNA1G",3.26005182377255,0.000610223449072048,"UP"
"PEO4_SNAI1_vs_GFP","PAPPA",4.2434010692253,3.38794284439702e-10,"UP"
"PEO4_SNAI1_vs_GFP","P3H3",3.15704687129398,0.000248396013408667,"UP"
"PEO4_SNAI1_vs_GFP","CTD-3193O13.11",-2.71095858477959,0.00565925613259462,"DOWN"
"PEO4_SNAI1_vs_GFP","IRF7",-1.94764391841486,0.00382590723667603,"DOWN"
"PEO4_SNAI1_vs_GFP","MFSD6L",-2.3674591539301,0.00816411332897818,"DOWN"
"PEO4_SNAI1_vs_GFP","MAF",4.41619772136194,2.50858952137712e-05,"UP"
"PEO4_SNAI1_vs_GFP","HTRA1",3.00306700422114,1.68514912544649e-06,"UP"
"PEO4_SNAI1_vs_GFP","CHRNB4",-2.35881196646169,0.000469557778154219,"DOWN"
"PEO4_SNAI1_vs_GFP","MYLK3",3.93733818911325,3.61844104463043e-11,"UP"
"PEO4_SNAI1_vs_GFP","MX2",-2.95048208750144,2.79909332436898e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","RP11-622O11.6",2.07257557768244,0.00606627810469574,"UP"
"PEO4_SNAI1_vs_GFP","PLVAP",4.69393244869537,1.76103863000736e-08,"UP"
"PEO4_SNAI1_vs_GFP","FABP3",3.47841842213144,4.55755551143751e-12,"UP"
"PEO4_SNAI1_vs_GFP","ATOH8",2.97175155373922,2.86196363909395e-09,"UP"
"PEO4_SNAI1_vs_GFP","OCLN",-2.24596839336799,5.52721824350591e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","NOG",4.20157309655436,0,"UP"
"PEO4_SNAI1_vs_GFP","LNX1",-1.78505747804054,0.0354459716148045,"DOWN"
"PEO4_SNAI1_vs_GFP","KCNH2",-1.97325671775345,0.00428061841965656,"DOWN"
"PEO4_SNAI1_vs_GFP","SMIM22",-2.58369484807653,3.00644761043763e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","BICDL2",-1.92493894944239,0.013008290836414,"DOWN"
"PEO4_SNAI1_vs_GFP","LAMP3",-2.24272911608222,0.000993978105212234,"DOWN"
"PEO4_SNAI1_vs_GFP","HHIP",5.90325178475083,0,"UP"
"PEO4_SNAI1_vs_GFP","FIGNL2",3.04927913556426,9.82078733054634e-05,"UP"
"PEO4_SNAI1_vs_GFP","NIPAL4",-2.93520801623781,0.0351913805899947,"DOWN"
"PEO4_SNAI1_vs_GFP","NYAP1",2.31966908567599,0.00234126137324327,"UP"
"PEO4_SNAI1_vs_GFP","OAS2",-2.94266730818076,1.35294312076212e-09,"DOWN"
"PEO4_SNAI1_vs_GFP","WFDC12",3.3160948115073,0.00516213941441457,"UP"
"PEO4_SNAI1_vs_GFP","SMR3B",5.19106341845743,2.42781436809894e-09,"UP"
"PEO4_SNAI1_vs_GFP","FBN1",4.13263719689182,0,"UP"
"PEO4_SNAI1_vs_GFP","ADAMTS1",3.80088949384637,0,"UP"
"PEO4_SNAI1_vs_GFP","CRYGN",3.14792886378451,0.0207796024924727,"UP"
"PEO4_SNAI1_vs_GFP","LIPC",3.86404110007304,0.00024440486726551,"UP"
"PEO4_SNAI1_vs_GFP","ELF3",-2.12241514858964,0.000333420621235091,"DOWN"
"PEO4_SNAI1_vs_GFP","PRAG1",1.91622320237951,0.00548143295434339,"UP"
"PEO4_SNAI1_vs_GFP","FBXL7",2.53760389095594,4.53827856990596e-06,"UP"
"PEO4_SNAI1_vs_GFP","SCO2",-1.91148225484936,0.0287380360403266,"DOWN"
"PEO4_SNAI1_vs_GFP","HCG22",-2.85437175833533,0.000199710719117994,"DOWN"
"PEO4_SNAI1_vs_GFP","SPON2",3.47358658255159,6.84722123652706e-06,"UP"
"PEO4_SNAI1_vs_GFP","CPXM2",4.5045599676379,0.00158992465524429,"UP"
"PEO4_SNAI1_vs_GFP","SFRP1",1.78258492990647,0.0245162955058333,"UP"
"PEO4_SNAI1_vs_GFP","FBP1",-3.37166792163907,2.73263581798133e-08,"DOWN"
"PEO4_SNAI1_vs_GFP","PLA2G4C",3.05389406217329,0.0127135445110687,"UP"
"PEO4_SNAI1_vs_GFP","RP4-621F18.2",5.01858581883375,0,"UP"
"PEO4_SNAI1_vs_GFP","COL11A2",2.05149209345653,0.0313002898266789,"UP"
"PEO4_SNAI1_vs_GFP","FZD1",1.79939305620338,0.0205714919323021,"UP"
"PEO4_SNAI1_vs_GFP","AC144831.1",-2.23948414442697,0.00684666711721496,"DOWN"
"PEO4_SNAI1_vs_GFP","DLX4",2.9576037754049,2.68166341236773e-05,"UP"
"PEO4_SNAI1_vs_GFP","CRB3",-1.85400945168436,0.029823449699316,"DOWN"
"PEO4_SNAI1_vs_GFP","CDH3",-1.77729444065392,0.0233513751153712,"DOWN"
"PEO4_SNAI1_vs_GFP","ADAMTS9",3.24503573838273,1.37485329243741e-11,"UP"
"PEO4_SNAI1_vs_GFP","LUM",5.97037578276234,0,"UP"
"PEO4_SNAI1_vs_GFP","PDGFRL",-2.68288648185859,9.10193254090022e-07,"DOWN"
"PEO4_SNAI1_vs_GFP","FAHD2P1",2.43387574959528,8.19844631569243e-05,"UP"
"PEO4_SNAI1_vs_GFP","EFNB1",2.16732426778032,0.000248396013408667,"UP"
"PEO4_SNAI1_vs_GFP","KCNA2",6.721151204105,0,"UP"
"PEO4_SNAI1_vs_GFP","ICAM1",1.891840453728,0.00772215608314288,"UP"
"PEO4_SNAI1_vs_GFP","GPR160",-3.27381159928692,5.25717411990088e-12,"DOWN"
"PEO4_SNAI1_vs_GFP","PKDCC",-2.62071182988818,2.65756645192461e-07,"DOWN"
"PEO4_SNAI1_vs_GFP","ZNF804A",4.414847351715,2.5355217228194e-05,"UP"
"PEO4_SNAI1_vs_GFP","LZTS1",2.57285508430247,1.05122350626264e-06,"UP"
"PEO4_SNAI1_vs_GFP","CLDN4",-2.70085916839517,5.44011547123923e-08,"DOWN"
"PEO4_SNAI1_vs_GFP","PRR15",-4.84986316001597,5.71903670472707e-11,"DOWN"
"PEO4_SNAI1_vs_GFP","NBEAL2",-2.35148749320854,1.48031610837656e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","AJ011932.1",5.37791175288985,0.0351840606860245,"UP"
"PEO4_SNAI1_vs_GFP","ATP1A3",1.92331665803994,0.00715103008140853,"UP"
"PEO4_SNAI1_vs_GFP","RP11-203F10.5",6.2024773641451,0.000109742400797845,"UP"
"PEO4_SNAI1_vs_GFP","RP11-513H8.2",4.15015587585167,0.000336176031717426,"UP"
"PEO4_SNAI1_vs_GFP","TMEM229B",-3.96900054605065,6.72765480316169e-11,"DOWN"
"PEO4_SNAI1_vs_GFP","SCD",-3.31931616744044,1.39743862371603e-12,"DOWN"
"PEO4_SNAI1_vs_GFP","KBTBD11",-2.94121885755269,4.46783101230486e-08,"DOWN"
"PEO4_SNAI1_vs_GFP","SLC7A3",3.03933942261352,0.00504885618423654,"UP"
"PEO4_SNAI1_vs_GFP","COL8A2",2.04807471895073,0.00212066045112941,"UP"
