"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","comparison","direction","database"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","2/153","143/3549",0.987598016663841,0.998724144667252,0.788466430000462,"ICAM1/ARID5B",2,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_HEME_METABOLISM","HALLMARK_HEME_METABOLISM","2/153","169/3549",0.995640208542618,0.998724144667252,0.788466430000462,"TENT5C/ANK1",2,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_MTORC1_SIGNALING","HALLMARK_MTORC1_SIGNALING","2/153","174/3549",0.996446209664926,0.998724144667252,0.788466430000462,"SLC2A3/BCAT1",2,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"HALLMARK_MITOTIC_SPINDLE","HALLMARK_MITOTIC_SPINDLE","1/153","148/3549",0.998724144667252,0.998724144667252,0.788466430000462,"FSCN1",1,"PEO4_SNAI1_vs_GFP","UP","Hallmark"
"GO:0030198","extracellular matrix organization","47/384","263/13205",3.7588192951769e-24,6.35167101305465e-21,4.74261066439745e-21,"FMOD/OLFML2A/HMCN1/COMP/FOXF2/ADAMTS7/ADAMTS5/TGFBR3/COL24A1/ADAMTS12/DDR2/AEBP1/MMP1/APLP1/ADAMTS1/COL11A2/ADAMTS9/LUM/COL8A2/ZNF469/CREB3L1/COL9A2/COL12A1/FSCN1/PXDN/FLRT2/PDGFRA/TGFB2/COL11A1/TGFBI/COL9A3/COL8A1/MMP3/RAMP2/DPP4/NID1/COL4A2/BMP2/COL4A1/PDPN/PHLDB2/MATN3/TNFRSF11B/SULF1/COL3A1/COL1A1/CCN1",47,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0043062","extracellular structure organization","47/384","264/13205",4.45671289530539e-24,6.35167101305465e-21,4.74261066439745e-21,"FMOD/OLFML2A/HMCN1/COMP/FOXF2/ADAMTS7/ADAMTS5/TGFBR3/COL24A1/ADAMTS12/DDR2/AEBP1/MMP1/APLP1/ADAMTS1/COL11A2/ADAMTS9/LUM/COL8A2/ZNF469/CREB3L1/COL9A2/COL12A1/FSCN1/PXDN/FLRT2/PDGFRA/TGFB2/COL11A1/TGFBI/COL9A3/COL8A1/MMP3/RAMP2/DPP4/NID1/COL4A2/BMP2/COL4A1/PDPN/PHLDB2/MATN3/TNFRSF11B/SULF1/COL3A1/COL1A1/CCN1",47,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0045229","external encapsulating structure organization","47/384","265/13205",5.27985952872373e-24,6.35167101305465e-21,4.74261066439745e-21,"FMOD/OLFML2A/HMCN1/COMP/FOXF2/ADAMTS7/ADAMTS5/TGFBR3/COL24A1/ADAMTS12/DDR2/AEBP1/MMP1/APLP1/ADAMTS1/COL11A2/ADAMTS9/LUM/COL8A2/ZNF469/CREB3L1/COL9A2/COL12A1/FSCN1/PXDN/FLRT2/PDGFRA/TGFB2/COL11A1/TGFBI/COL9A3/COL8A1/MMP3/RAMP2/DPP4/NID1/COL4A2/BMP2/COL4A1/PDPN/PHLDB2/MATN3/TNFRSF11B/SULF1/COL3A1/COL1A1/CCN1",47,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0071772","response to BMP","32/384","134/13205",1.01137978564911e-20,7.3001392928153e-18,5.45080473949838e-18,"COMP/FST/ADAMTS7/GATA6/TGFBR3/ADAMTS12/ACVRL1/HTRA1/NOG/FBN1/SFRP1/FZD1/DKK1/SCUBE3/SMAD6/RUNX2/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/ZNF423/BMP5/DLX1/BMP4/DLX3/MSX2/BMP2/BAMBI/SULF1/FSTL1/CCN1",32,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0071773","cellular response to BMP stimulus","32/384","134/13205",1.01137978564911e-20,7.3001392928153e-18,5.45080473949838e-18,"COMP/FST/ADAMTS7/GATA6/TGFBR3/ADAMTS12/ACVRL1/HTRA1/NOG/FBN1/SFRP1/FZD1/DKK1/SCUBE3/SMAD6/RUNX2/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/ZNF423/BMP5/DLX1/BMP4/DLX3/MSX2/BMP2/BAMBI/SULF1/FSTL1/CCN1",32,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0001501","skeletal system development","53/384","423/13205",1.00112692380666e-19,6.02177844669704e-17,4.49628934200884e-17,"SNAI1/SOX6/COMP/DCHS1/FST/ADAMTS7/PTH1R/DSCAML1/ADAMTS12/ACVRL1/VCAN/DDR2/MAF/NOG/HHIP/FBN1/SFRP1/COL11A2/DLX4/COL9A2/FBN2/FGFR1/TBX4/HOXA1/CDH11/PDGFRA/CCN2/TGFB2/RUNX2/COL11A1/WNT5A/TGFBI/HOXB9/BGN/BMP5/ECM1/WNT7A/DLX1/BMP4/ZEB1/HOXA7/ARID5B/DLX3/PAPSS2/MSX2/BMP2/MATN3/TNFRSF11B/SULF1/TGM2/COL3A1/COL1A1/CCN1",53,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
