level,group,final_label,set_type,rank_within_set,gene,n_programs_in_group,recurrence_count_in_MP,recurrence_fraction_in_MP,mean_loading_in_MP,median_loading_in_MP,recurrence_count_outside_MP,max_recurrence_fraction_other_MP,specificity_delta,specificity_ratio
final_mp,MP1,angiogenic/vascular,strict,27,HSPG2,7,4,0.5714285714285714,0.003904982955140225,0.0043098220419704,4,0.5,0.0714285714285714,1.1428548571474284
final_mp,MP1,angiogenic/vascular,strict,28,CD34,7,4,0.5714285714285714,0.003735282563506975,0.00392948611826915,0,0.0,0.5714285714285714,571428.5714285715
final_mp,MP1,angiogenic/vascular,strict,29,VIM,7,4,0.5714285714285714,0.0034074583472591497,0.0029626132182492,8,0.3333333333333333,0.23809523809523808,1.7142805714440001
final_mp,MP1,angiogenic/vascular,strict,30,THY1,7,4,0.5714285714285714,0.003402881730663625,0.0036508838921021003,8,0.5384615384615384,0.03296703296703296,1.0612225189540974
final_mp,MP1,angiogenic/vascular,strict,31,ADAMTS4,7,4,0.5714285714285714,0.003382196846976325,0.0034679168628196496,0,0.0,0.5714285714285714,571428.5714285715
final_mp,MP1,angiogenic/vascular,strict,32,COL6A2,7,4,0.5714285714285714,0.003373038561682325,0.0032980887816309,18,1.0,-0.4285714285714286,0.5714280000005715
final_mp,MP1,angiogenic/vascular,strict,33,FLT1,7,3,0.42857142857142855,0.005300565290774,0.0058021077239092,1,0.07692307692307693,0.3516483516483516,5.571356143798702
final_mp,MP1,angiogenic/vascular,strict,34,COL5A3,7,3,0.42857142857142855,0.004710121980599333,0.0048587264425462,2,0.07692307692307693,0.3516483516483516,5.571356143798702
final_mp,MP1,angiogenic/vascular,strict,35,COL18A1,7,3,0.42857142857142855,0.0046774265348231,0.0051853556581275,3,0.0,0.42857142857142855,428571.4285714286
final_mp,MP1,angiogenic/vascular,strict,36,MGP,7,3,0.42857142857142855,0.004643870052537466,0.0045311047192574,5,0.5,-0.07142857142857145,0.8571411428605713
final_mp,MP1,angiogenic/vascular,strict,37,ANGPT2,7,3,0.42857142857142855,0.004379373801273266,0.0040795904913482,0,0.0,0.42857142857142855,428571.4285714286
final_mp,MP1,angiogenic/vascular,strict,38,ID3,7,3,0.42857142857142855,0.004041823460359633,0.003619626720722,4,0.3333333333333333,0.09523809523809523,1.285710428583
final_mp,MP1,angiogenic/vascular,strict,39,RAMP2,7,3,0.42857142857142855,0.003599687940641167,0.0043972965321774,1,0.0,0.42857142857142855,428571.4285714286
final_mp,MP1,angiogenic/vascular,strict,40,PCDH12,7,3,0.42857142857142855,0.0035691443769497334,0.0040249847247696,0,0.0,0.42857142857142855,428571.4285714286
final_mp,MP1,angiogenic/vascular,strict,41,TMEM204,7,3,0.42857142857142855,0.0035542364510827338,0.0040723268798654,0,0.0,0.42857142857142855,428571.4285714286
final_mp,MP1,angiogenic/vascular,strict,42,PLXDC1,7,3,0.42857142857142855,0.0034086788140083994,0.0037824338442081,0,0.0,0.42857142857142855,428571.4285714286
final_mp,MP1,angiogenic/vascular,strict,43,GJA4,7,3,0.42857142857142855,0.0032967948171615667,0.0036477105123612,2,0.0,0.42857142857142855,428571.4285714286
final_mp,MP1,angiogenic/vascular,strict,44,BGN,7,3,0.42857142857142855,0.0031004644949452,0.0023441114629128,13,0.75,-0.32142857142857145,0.5714278095248253
final_mp,MP1,angiogenic/vascular,strict,45,KDR,7,3,0.42857142857142855,0.0028471150714931997,0.0030122103429693,0,0.0,0.42857142857142855,428571.4285714286
final_mp,MP1,angiogenic/vascular,strict,46,COL6A3,7,3,0.42857142857142855,0.002746869169609633,0.0021290241411474,15,0.6923076923076923,-0.26373626373626374,0.6190467248690165
final_mp,MP1,angiogenic/vascular,strict,47,FSTL1,7,3,0.42857142857142855,0.0023874203410275334,0.0020601920561693,7,0.38461538461538464,0.04395604395604391,1.1142828171503896
final_mp,MP2,iCAF-stress,strict,1,CCN1,4,4,1.0,0.0027368769835149744,0.0027558309593853497,3,0.14285714285714285,0.8571428571428572,6.999951000342998
final_mp,MP2,iCAF-stress,strict,2,COL1A1,4,4,1.0,0.00257009531482335,0.0025423689671512,20,1.0,0.0,0.9999990000010001
final_mp,MP2,iCAF-stress,strict,3,FN1,4,3,0.75,0.004213385089332666,0.0039143162719333,17,0.9230769230769231,-0.17307692307692313,0.8124991197926201
final_mp,MP2,iCAF-stress,strict,4,C3,4,3,0.75,0.004135968787794534,0.0042779922013555,10,0.5,0.25,1.499997000006
final_mp,MP2,iCAF-stress,strict,5,FOSB,4,3,0.75,0.0036554445484313666,0.0035475542726702,2,0.16666666666666666,0.5833333333333334,4.499973000161999
final_mp,MP2,iCAF-stress,strict,6,DUSP1,4,3,0.75,0.0036551453092067,0.0034775654658007,2,0.08333333333333333,0.6666666666666666,8.999892001295985
final_mp,MP2,iCAF-stress,strict,7,FOS,4,3,0.75,0.0035966418912155664,0.0034249114426054,6,0.08333333333333333,0.6666666666666666,8.999892001295985
final_mp,MP2,iCAF-stress,strict,8,NNMT,4,3,0.75,0.0034811947369769,0.0041496292908128,7,0.3076923076923077,0.4423076923076923,2.437492078150746
final_mp,MP2,iCAF-stress,strict,9,PTGIS,4,3,0.75,0.003095733579804733,0.003752005830177,3,0.16666666666666666,0.5833333333333334,4.499973000161999
final_mp,MP2,iCAF-stress,strict,10,SERPINE1,4,3,0.75,0.0029872595131646665,0.0030286933802395,4,0.16666666666666666,0.5833333333333334,4.499973000161999
final_mp,MP2,iCAF-stress,strict,11,THBS2,4,3,0.75,0.002817667666981933,0.0024535641664249,12,0.8461538461538461,-0.09615384615384615,0.8863625888442132
final_mp,MP2,iCAF-stress,strict,12,NBL1,4,3,0.75,0.002724539328666533,0.0034769907770446,11,0.8333333333333334,-0.08333333333333337,0.8999989200012959
final_mp,MP2,iCAF-stress,strict,13,RARRES2,4,3,0.75,0.0026994896781796667,0.0023109723412262,7,0.38461538461538464,0.36538461538461536,1.949994930013182
final_mp,MP2,iCAF-stress,strict,14,COL8A1,4,3,0.75,0.0025300139589611,0.0025230285688309,8,0.46153846153846156,0.28846153846153844,1.624996479174295
final_mp,MP2,iCAF-stress,strict,15,BGN,4,3,0.75,0.0024434471554930334,0.0025380016473593,13,0.6666666666666666,0.08333333333333337,1.1249983125025314
final_mp,MP2,iCAF-stress,strict,16,MMP2,4,3,0.75,0.002294009720662633,0.0017948307267389,15,0.9230769230769231,-0.17307692307692313,0.8124991197926201
final_mp,MP2,iCAF-stress,strict,17,SPARC,4,3,0.75,0.0021311023515087,0.0015620076427625,25,1.0,-0.25,0.7499992500007501
final_mp,MP2,iCAF-stress,strict,18,CXCL1,4,2,0.5,0.00407084701885005,0.00407084701885005,4,0.5,0.0,0.999998000004
final_mp,MP2,iCAF-stress,strict,19,EGR1,4,2,0.5,0.0039678532354515,0.0039678532354515,2,0.0,0.5,500000.0
final_mp,MP2,iCAF-stress,strict,20,JUNB,4,2,0.5,0.0034695078835831,0.0034695078835831,2,0.0,0.5,500000.0
final_mp,MP2,iCAF-stress,strict,21,LUM,4,2,0.5,0.0034467628986273504,0.0034467628986273504,16,0.9230769230769231,-0.42307692307692313,0.5416660798617468
final_mp,MP2,iCAF-stress,strict,22,TGFBI,4,2,0.5,0.0033803512011067,0.0033803512011067,5,0.16666666666666666,0.33333333333333337,2.9999820001079995
final_mp,MP2,iCAF-stress,strict,23,ATF3,4,2,0.5,0.0030661981158897,0.0030661981158897,2,0.0,0.5,500000.0
final_mp,MP2,iCAF-stress,strict,24,TIMP1,4,2,0.5,0.00304314038687985,0.00304314038687985,8,0.6666666666666666,-0.16666666666666663,0.7499988750016875
