level,group,final_label,set_type,library,term_id,term,overlap_k,signature_size_n,term_size_K,universe_N,fold_enrichment,pvalue,overlap_genes,n_overlap_specific,n_overlap_shared,frac_overlap_specific,mean_overlap_specificity_delta,padj,driven_by_shared_only
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0051262,protein tetramerization,1,39,99,27377,7.09065009065009,0.13184475745626928,COL6A1,0,1,0.0,-0.2692307692307693,0.19008293252897718,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0061387,regulation of extent of cell growth,1,39,99,27377,7.09065009065009,0.13184475745626928,APOE,0,1,0.0,-0.5,0.19008293252897718,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0010975,regulation of neuron projection development,2,39,444,27377,3.1620466620466616,0.13159772322422109,SERPINF1;APOE,0,1,0.0,-0.14102564102564105,0.19008293252897718,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0000041,transition metal ion transport,1,39,100,27377,7.019743589743589,0.13308597948351478,FTL,0,1,0.0,-0.5,0.19103528468619704,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0009137,purine nucleoside diphosphate catabolic process,1,39,100,27377,7.019743589743589,0.13308597948351478,COL6A1,0,1,0.0,-0.2692307692307693,0.19103528468619704,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0009181,purine ribonucleoside diphosphate catabolic process,1,39,100,27377,7.019743589743589,0.13308597948351478,COL6A1,0,1,0.0,-0.2692307692307693,0.19103528468619704,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0034109,homotypic cell-cell adhesion,1,39,100,27377,7.019743589743589,0.13308597948351478,EMILIN1,1,0,1.0,0.5,0.19103528468619704,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0070167,regulation of biomineral tissue development,1,39,100,27377,7.019743589743589,0.13308597948351478,MGP,0,1,0.0,0.0714285714285714,0.19103528468619704,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0008585,female gonad development,1,39,101,27377,6.95024117796395,0.13432547234563835,A2M,0,1,0.0,-0.3571428571428571,0.1919768914062338,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0010906,regulation of glucose metabolic process,1,39,101,27377,6.95024117796395,0.13432547234563835,IGFBP4,1,0,1.0,0.5833333333333334,0.1919768914062338,False
