source_group,source_label,target_class,target_variable,target_label,hallmark_group,n_samples,n_positive,n_negative,corr_mean,corr_median,fisher_z_mean,fisher_z_median,corr_from_mean_fisher_z,corr_from_median_fisher_z,p_cross_sample_fisher_t,p_cross_sample_wilcoxon,q_cross_sample_class_fisher_t,q_cross_sample_class_wilcoxon,sig_cross_sample_class,sig_marker_cross_sample_class,cross_sample_bh_scope
snai12r_hot,SNAI1-2R hot,spacet,SpaCET_NK,NK,,23,7,16,-0.055707431310302535,-0.0469792871805348,-0.05677555871568646,-0.04701389495303862,-0.05671463261391039,-0.046979287180534804,0.055092354838202226,0.030086994171142578,0.06886544354775279,0.03760874271392822,False,,source_group__target_class
snai12r_hot,SNAI1-2R hot,spacet,SpaCET_Plasma,Plasma,,23,5,18,-0.21485288232996722,-0.2615894238674283,-0.24148241769336337,-0.26781382318852737,-0.23689546527333305,-0.2615894238674283,0.0019292847931096505,0.0011184215545654297,0.004823211982774126,0.0027960538864135742,True,**,source_group__target_class
snai12r_hot,SNAI1-2R hot,spacet,SpaCET_T_CD4,T CD4,,23,9,14,-0.031720421870402096,-0.0538298062095068,-0.03199590803995278,-0.053881890069378865,-0.03198499403213002,-0.05382980620950681,0.3273674206405571,0.2467491626739502,0.3273674206405571,0.2467491626739502,False,,source_group__target_class
snai12r_hot,SNAI1-2R hot,spacet,SpaCET_T_CD8,T CD8,,23,4,19,-0.059397331321284254,-0.0623475539992868,-0.06000067515652854,-0.062428529111528006,-0.059928776260902795,-0.06234755399928679,0.025039495777054936,0.01486515998840332,0.03577070825293562,0.024775266647338867,True,*,source_group__target_class
snai12r_hot,SNAI1-2R hot,spacet,SpaCET_Unidentifiable,Unidentifiable,,23,4,19,-0.2339474600796225,-0.254399560092119,-0.25278603260025156,-0.2601112227638999,-0.2475357818508061,-0.25439956009211895,6.26469376679928e-05,4.935264587402344e-05,0.000313234688339964,0.0002467632293701172,True,***,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,core_comparators,SNAI1_2R_scoregenes,SNAI1-2R,,23,8,15,-0.14679477572760674,-0.1701633995861506,-0.15745478856949485,-0.17183493068398628,-0.1561663572628254,-0.1701633995861506,0.006839646838458533,0.011156558990478516,0.013679293676917066,0.021372318267822266,True,*,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,core_comparators,SNAI1_scoregenes,SNAI1,,23,7,16,-0.1290875202428669,-0.1587685714504662,-0.13823063104013403,-0.16012316959823805,-0.13735688506404978,-0.1587685714504662,0.014842189611604327,0.021372318267822266,0.014842189611604327,0.021372318267822266,True,*,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,ADIPOGENESIS,ADIPOGENESIS,Metabolism,23,15,8,0.08646267147952948,0.0938584040571607,0.09071252337884739,0.09413548214864048,0.09046452239129386,0.0938584040571607,0.04910984143328346,0.07486915588378906,0.1259116798742232,0.18249356746673584,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,ANDROGEN_RESPONSE,ANDROGEN RESPONSE,Other Biological States,23,16,7,0.06624856352470383,0.0639444067006036,0.06814859061713296,0.0640317749652823,0.06804328698238689,0.0639444067006036,0.041430804473851064,0.06051826477050781,0.1242924134215532,0.1573474884033203,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,ANGIOGENESIS,ANGIOGENESIS,Signaling & Development,23,10,13,-0.06128479248511318,-0.0079269125464889,-0.06479072287573702,-0.007927078584422546,-0.06470021453387317,-0.0079269125464889,0.14200113743674767,0.30013346672058105,0.2657543073142071,0.5089219653088114,False,,source_group__target_class
