sample_label,source_group,source_label,compartment,n_source_spots,n_source_spots_total,percentage_within_sample_source,summary_level
yamamoto_2025__Pt2-1,snai1ac_consensus_cold,SNAI1-ac cold,Interface,59,146,40.41095890410959,patient_sample
yamamoto_2025__Pt2-1,snai12r_hot,SNAI1-2R-like hot,Tumor,150,373,40.21447721179624,patient_sample
yamamoto_2025__Pt2-1,snai12r_hot,SNAI1-2R-like hot,Stroma,94,373,25.201072386058982,patient_sample
yamamoto_2025__Pt2-1,snai12r_hot,SNAI1-2R-like hot,Interface,129,373,34.584450402144775,patient_sample
yamamoto_2025__Pt2-2,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,95,165,57.57575757575758,patient_sample
yamamoto_2025__Pt2-2,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,12,165,7.2727272727272725,patient_sample
yamamoto_2025__Pt2-2,snai1ac_consensus_hot,SNAI1-ac hot,Interface,58,165,35.15151515151515,patient_sample
yamamoto_2025__Pt2-2,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,70,161,43.47826086956522,patient_sample
yamamoto_2025__Pt2-2,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,47,161,29.19254658385093,patient_sample
yamamoto_2025__Pt2-2,snai1ac_consensus_cold,SNAI1-ac cold,Interface,44,161,27.32919254658385,patient_sample
yamamoto_2025__Pt2-2,snai12r_hot,SNAI1-2R-like hot,Tumor,98,290,33.793103448275865,patient_sample
yamamoto_2025__Pt2-2,snai12r_hot,SNAI1-2R-like hot,Stroma,91,290,31.379310344827587,patient_sample
yamamoto_2025__Pt2-2,snai12r_hot,SNAI1-2R-like hot,Interface,101,290,34.827586206896555,patient_sample
yamamoto_2025__Pt2-3,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,55,103,53.398058252427184,patient_sample
yamamoto_2025__Pt2-3,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,18,103,17.475728155339805,patient_sample
yamamoto_2025__Pt2-3,snai1ac_consensus_hot,SNAI1-ac hot,Interface,30,103,29.12621359223301,patient_sample
yamamoto_2025__Pt2-3,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,4,112,3.5714285714285716,patient_sample
yamamoto_2025__Pt2-3,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,92,112,82.14285714285714,patient_sample
yamamoto_2025__Pt2-3,snai1ac_consensus_cold,SNAI1-ac cold,Interface,16,112,14.285714285714286,patient_sample
yamamoto_2025__Pt2-3,snai12r_hot,SNAI1-2R-like hot,Tumor,85,384,22.135416666666668,patient_sample
yamamoto_2025__Pt2-3,snai12r_hot,SNAI1-2R-like hot,Stroma,213,384,55.46875,patient_sample
yamamoto_2025__Pt2-3,snai12r_hot,SNAI1-2R-like hot,Interface,86,384,22.395833333333332,patient_sample
yamamoto_2025__Pt2-4,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,281,331,84.89425981873111,patient_sample
yamamoto_2025__Pt2-4,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,18,331,5.438066465256798,patient_sample
yamamoto_2025__Pt2-4,snai1ac_consensus_hot,SNAI1-ac hot,Interface,32,331,9.667673716012084,patient_sample
yamamoto_2025__Pt2-4,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,5,328,1.524390243902439,patient_sample
yamamoto_2025__Pt2-4,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,322,328,98.17073170731707,patient_sample
yamamoto_2025__Pt2-4,snai1ac_consensus_cold,SNAI1-ac cold,Interface,1,328,0.3048780487804878,patient_sample
yamamoto_2025__Pt2-4,snai12r_hot,SNAI1-2R-like hot,Tumor,19,781,2.4327784891165174,patient_sample
yamamoto_2025__Pt2-4,snai12r_hot,SNAI1-2R-like hot,Stroma,713,781,91.2932138284251,patient_sample
yamamoto_2025__Pt2-4,snai12r_hot,SNAI1-2R-like hot,Interface,49,781,6.274007682458387,patient_sample
__pooled__,snai12r_hot,SNAI1-2R-like hot,Interface,2214,10335,21.42235123367199,pooled_across_patient_samples
__pooled__,snai12r_hot,SNAI1-2R-like hot,Stroma,6034,10335,58.38413159167876,pooled_across_patient_samples
__pooled__,snai12r_hot,SNAI1-2R-like hot,Tumor,2087,10335,20.19351717464925,pooled_across_patient_samples
__pooled__,snai1ac_consensus_cold,SNAI1-ac cold,Interface,871,4884,17.833742833742832,pooled_across_patient_samples
__pooled__,snai1ac_consensus_cold,SNAI1-ac cold,Stroma,3462,4884,70.88452088452088,pooled_across_patient_samples
__pooled__,snai1ac_consensus_cold,SNAI1-ac cold,Tumor,551,4884,11.281736281736281,pooled_across_patient_samples
__pooled__,snai1ac_consensus_hot,SNAI1-ac hot,Interface,743,4892,15.188062142273099,pooled_across_patient_samples
__pooled__,snai1ac_consensus_hot,SNAI1-ac hot,Stroma,401,4892,8.197056418642681,pooled_across_patient_samples
__pooled__,snai1ac_consensus_hot,SNAI1-ac hot,Tumor,3748,4892,76.61488143908421,pooled_across_patient_samples
